#Written by pole_map_weight_distributions_for_cuts_08jun19.py. 
#Maps created using configuration file 
#   /software/spt3g_software_onlinemaps/spt3g/std_processing/mapmakers/pole_autoproc_config.yaml,
# with code at git hash ed461fbecdab3740b6e8249866e08cdd03c76094.
#
# Field    Band [GHz]   ObsId    Weight*RMS^2 
ra0hdec-52.25   150   75042523    7.83067
ra0hdec-52.25   150   75051348    7.83765
ra0hdec-52.25   150   75060086    7.82864
ra0hdec-52.25   150   75186564    7.51087
ra0hdec-52.25   150   75195301    7.73299
ra0hdec-52.25   150   75204038    7.69271
ra0hdec-52.25   150   75321894    7.56357
ra0hdec-52.25   150   75330793    7.55124
ra0hdec-52.25   150   75478392    8.33407
ra0hdec-52.25   150   75487129    8.15505
ra0hdec-52.25   150   75622806    8.00027
ra0hdec-52.25   150   75631543    7.94294
ra0hdec-52.25   150   75640280    8.01237
ra0hdec-52.25   150   75768931    7.79425
ra0hdec-52.25   150   75777756    7.98791
ra0hdec-52.25   150   75786749    8.06727
ra0hdec-52.25   150   75914072    7.88831
ra0hdec-52.25   150   75922810    8.61478
ra0hdec-52.25   150   75931709    9.40677
ra0hdec-52.25   150   76052617    8.14298
ra0hdec-52.25   150   76061355    7.75718
ra0hdec-52.25   150   76197463    8.02006
ra0hdec-52.25   150   76206290    7.99183
ra0hdec-52.25   150   76215160    8.05455
ra0hdec-52.25   150   76341239    8.12523
ra0hdec-52.25   150   76349977    8.02842
ra0hdec-52.25   150   76358876    8.03448
ra0hdec-52.25   150   76485017    7.69739
ra0hdec-52.25   150   76493755    7.74991
ra0hdec-52.25   150   76502492    7.29390
ra0hdec-52.25   150   76621607    7.43360
ra0hdec-52.25   150   76630345    7.22858
ra0hdec-52.25   220   74898074    8.01879
ra0hdec-52.25   220   74906811    7.91855
ra0hdec-52.25   220   75042523    8.30355
ra0hdec-52.25   220   75051348    8.34415
ra0hdec-52.25   220   75060086    8.27167
ra0hdec-52.25   220   75186564    7.89252
ra0hdec-52.25   220   75195301    8.19314
ra0hdec-52.25   220   75204038    8.17626
ra0hdec-52.25   220   75321894    8.29995
ra0hdec-52.25   220   75330793    8.19861
ra0hdec-52.25   220   75478392    8.55934
ra0hdec-52.25   220   75487129    8.39832
ra0hdec-52.25   220   75622806    8.38750
ra0hdec-52.25   220   75631543    8.39860
ra0hdec-52.25   220   75640280    8.36652
ra0hdec-52.25   220   75768931    8.13706
ra0hdec-52.25   220   75777756    8.37725
ra0hdec-52.25   220   75786749    8.51613
ra0hdec-52.25   220   75914072    7.81381
ra0hdec-52.25   220   75922810    8.53327
ra0hdec-52.25   220   75931709    9.16636
ra0hdec-52.25   220   76052617    8.49794
ra0hdec-52.25   220   76061355    8.20939
ra0hdec-52.25   220   76197463    8.36703
ra0hdec-52.25   220   76206290    8.30205
ra0hdec-52.25   220   76215160    8.36109
ra0hdec-52.25   220   76341239    8.49472
ra0hdec-52.25   220   76349977    8.32809
ra0hdec-52.25   220   76358876    8.34960
ra0hdec-52.25   220   76485017    7.78251
ra0hdec-52.25   220   76493755    7.95386
ra0hdec-52.25   220   76502492    7.24355
ra0hdec-52.25   220   76621607    7.76072
ra0hdec-52.25   220   76630345    7.59902
ra0hdec-59.75    90   74809520    8.13021
ra0hdec-59.75    90   74818432    8.11265
ra0hdec-59.75    90   74827301    8.16950
ra0hdec-59.75    90   74941568    8.11615
ra0hdec-59.75    90   74950351    8.17439
ra0hdec-59.75    90   74959158    8.22095
ra0hdec-59.75    90   75085245    8.11677
ra0hdec-59.75    90   75094128    8.21880
ra0hdec-59.75    90   75103010    8.15080
ra0hdec-59.75    90   75229218    8.10594
ra0hdec-59.75    90   75238130    8.10436
ra0hdec-59.75    90   75247042    8.09795
ra0hdec-59.75    90   75387877    8.17136
ra0hdec-59.75    90   75396685    8.28392
ra0hdec-59.75    90   75405467    8.27566
ra0hdec-59.75    90   75521793    8.26208
ra0hdec-59.75    90   75530675    8.16589
ra0hdec-59.75    90   75539457    8.11752
ra0hdec-59.75    90   75665489    8.13822
ra0hdec-59.75    90   75674401    8.17866
ra0hdec-59.75    90   75683195    8.11466
ra0hdec-59.75    90   75811894    8.25950
ra0hdec-59.75    90   75820702    8.16540
ra0hdec-59.75    90   75829509    8.34545
ra0hdec-59.75    90   75964508    8.29970
ra0hdec-59.75    90   75973289    8.42238
ra0hdec-59.75    90   75982072    8.29664
ra0hdec-59.75    90   76096150    8.12156
ra0hdec-59.75    90   76105063    8.16422
ra0hdec-59.75    90   76113857    8.11473
ra0hdec-59.75    90   76240281    8.14845
ra0hdec-59.75    90   76249089    8.13287
ra0hdec-59.75    90   76257897    8.19016
