#    L    TT             EE             BB             TE             PP             TP             EP
  1930    0.22073E+03    0.12355E+02    0.00000E+00   -0.13452E+02    0.23411E-08    0.69261E-06   -0.88740E-07
  1931    0.22048E+03    0.12345E+02    0.00000E+00   -0.13669E+02    0.23391E-08    0.69441E-06   -0.88633E-07
  1932    0.22024E+03    0.12336E+02    0.00000E+00   -0.13884E+02    0.23372E-08    0.69618E-06   -0.88517E-07
  1933    0.22001E+03    0.12324E+02    0.00000E+00   -0.14099E+02    0.23352E-08    0.69792E-06   -0.88391E-07
  1934    0.21980E+03    0.12311E+02    0.00000E+00   -0.14312E+02    0.23332E-08    0.69963E-06   -0.88256E-07
  1935    0.21961E+03    0.12296E+02    0.00000E+00   -0.14523E+02    0.23313E-08    0.70132E-06   -0.88112E-07
  1936    0.21942E+03    0.12281E+02    0.00000E+00   -0.14733E+02    0.23293E-08    0.70298E-06   -0.87959E-07
  1937    0.21925E+03    0.12262E+02    0.00000E+00   -0.14941E+02    0.23274E-08    0.70461E-06   -0.87796E-07
  1938    0.21910E+03    0.12244E+02    0.00000E+00   -0.15147E+02    0.23254E-08    0.70620E-06   -0.87624E-07
  1939    0.21897E+03    0.12223E+02    0.00000E+00   -0.15352E+02    0.23235E-08    0.70777E-06   -0.87444E-07
  1940    0.21884E+03    0.12202E+02    0.00000E+00   -0.15555E+02    0.23216E-08    0.70931E-06   -0.87254E-07
  1941    0.21874E+03    0.12179E+02    0.00000E+00   -0.15756E+02    0.23196E-08    0.71082E-06   -0.87055E-07
  1942    0.21864E+03    0.12155E+02    0.00000E+00   -0.15954E+02    0.23177E-08    0.71231E-06   -0.86848E-07
  1943    0.21856E+03    0.12130E+02    0.00000E+00   -0.16152E+02    0.23157E-08    0.71376E-06   -0.86631E-07
  1944    0.21849E+03    0.12102E+02    0.00000E+00   -0.16346E+02    0.23138E-08    0.71518E-06   -0.86406E-07
  1945    0.21843E+03    0.12075E+02    0.00000E+00   -0.16537E+02    0.23119E-08    0.71657E-06   -0.86172E-07
  1946    0.21839E+03    0.12045E+02    0.00000E+00   -0.16727E+02    0.23100E-08    0.71793E-06   -0.85930E-07
  1947    0.21835E+03    0.12015E+02    0.00000E+00   -0.16914E+02    0.23080E-08    0.71926E-06   -0.85679E-07
  1948    0.21834E+03    0.11983E+02    0.00000E+00   -0.17099E+02    0.23061E-08    0.72057E-06   -0.85420E-07
  1949    0.21833E+03    0.11948E+02    0.00000E+00   -0.17280E+02    0.23042E-08    0.72184E-06   -0.85153E-07
  1950    0.21834E+03    0.11914E+02    0.00000E+00   -0.17460E+02    0.23023E-08    0.72308E-06   -0.84877E-07
  1951    0.21836E+03    0.11879E+02    0.00000E+00   -0.17636E+02    0.23004E-08    0.72429E-06   -0.84593E-07
  1952    0.21839E+03    0.11841E+02    0.00000E+00   -0.17809E+02    0.22985E-08    0.72547E-06   -0.84300E-07
  1953    0.21844E+03    0.11803E+02    0.00000E+00   -0.17980E+02    0.22966E-08    0.72662E-06   -0.84000E-07
  1954    0.21849E+03    0.11763E+02    0.00000E+00   -0.18148E+02    0.22947E-08    0.72774E-06   -0.83692E-07
  1955    0.21855E+03    0.11723E+02    0.00000E+00   -0.18313E+02    0.22928E-08    0.72883E-06   -0.83376E-07
  1956    0.21862E+03    0.11681E+02    0.00000E+00   -0.18474E+02    0.22909E-08    0.72989E-06   -0.83052E-07
  1957    0.21873E+03    0.11638E+02    0.00000E+00   -0.18633E+02    0.22890E-08    0.73092E-06   -0.82720E-07
  1958    0.21880E+03    0.11593E+02    0.00000E+00   -0.18788E+02    0.22871E-08    0.73191E-06   -0.82381E-07
  1959    0.21891E+03    0.11548E+02    0.00000E+00   -0.18940E+02    0.22852E-08    0.73288E-06   -0.82034E-07
  1960    0.21902E+03    0.11502E+02    0.00000E+00   -0.19090E+02    0.22833E-08    0.73381E-06   -0.81679E-07
  1961    0.21914E+03    0.11454E+02    0.00000E+00   -0.19235E+02    0.22814E-08    0.73472E-06   -0.81317E-07
  1962    0.21927E+03    0.11406E+02    0.00000E+00   -0.19377E+02    0.22795E-08    0.73559E-06   -0.80947E-07
  1963    0.21941E+03    0.11357E+02    0.00000E+00   -0.19515E+02    0.22776E-08    0.73643E-06   -0.80571E-07
  1964    0.21956E+03    0.11306E+02    0.00000E+00   -0.19649E+02    0.22758E-08    0.73724E-06   -0.80187E-07
  1965    0.21972E+03    0.11254E+02    0.00000E+00   -0.19780E+02    0.22739E-08    0.73801E-06   -0.79795E-07
  1966    0.21988E+03    0.11201E+02    0.00000E+00   -0.19908E+02    0.22720E-08    0.73876E-06   -0.79397E-07
  1967    0.22006E+03    0.11148E+02    0.00000E+00   -0.20032E+02    0.22701E-08    0.73947E-06   -0.78992E-07
  1968    0.22023E+03    0.11093E+02    0.00000E+00   -0.20152E+02    0.22683E-08    0.74016E-06   -0.78580E-07
  1969    0.22042E+03    0.11037E+02    0.00000E+00   -0.20269E+02    0.22664E-08    0.74081E-06   -0.78160E-07
  1970    0.22061E+03    0.10982E+02    0.00000E+00   -0.20381E+02    0.22645E-08    0.74143E-06   -0.77735E-07
  1971    0.22081E+03    0.10925E+02    0.00000E+00   -0.20490E+02    0.22627E-08    0.74202E-06   -0.77302E-07
  1972    0.22101E+03    0.10866E+02    0.00000E+00   -0.20594E+02    0.22608E-08    0.74258E-06   -0.76863E-07
  1973    0.22122E+03    0.10808E+02    0.00000E+00   -0.20695E+02    0.22590E-08    0.74310E-06   -0.76417E-07
  1974    0.22145E+03    0.10747E+02    0.00000E+00   -0.20793E+02    0.22571E-08    0.74360E-06   -0.75965E-07
  1975    0.22166E+03    0.10687E+02    0.00000E+00   -0.20886E+02    0.22552E-08    0.74406E-06   -0.75506E-07
  1976    0.22189E+03    0.10625E+02    0.00000E+00   -0.20975E+02    0.22534E-08    0.74449E-06   -0.75041E-07
  1977    0.22212E+03    0.10563E+02    0.00000E+00   -0.21060E+02    0.22515E-08    0.74489E-06   -0.74570E-07
  1978    0.22235E+03    0.10501E+02    0.00000E+00   -0.21140E+02    0.22497E-08    0.74526E-06   -0.74093E-07
  1979    0.22260E+03    0.10437E+02    0.00000E+00   -0.21217E+02    0.22479E-08    0.74559E-06   -0.73609E-07
  1980    0.22284E+03    0.10373E+02    0.00000E+00   -0.21290E+02    0.22460E-08    0.74590E-06   -0.73120E-07
  1981    0.22309E+03    0.10308E+02    0.00000E+00   -0.21358E+02    0.22442E-08    0.74617E-06   -0.72625E-07
  1982    0.22333E+03    0.10242E+02    0.00000E+00   -0.21422E+02    0.22424E-08    0.74642E-06   -0.72124E-07
  1983    0.22359E+03    0.10176E+02    0.00000E+00   -0.21482E+02    0.22405E-08    0.74663E-06   -0.71617E-07
  1984    0.22385E+03    0.10109E+02    0.00000E+00   -0.21538E+02    0.22387E-08    0.74681E-06   -0.71104E-07
  1985    0.22411E+03    0.10041E+02    0.00000E+00   -0.21590E+02    0.22369E-08    0.74696E-06   -0.70586E-07
  1986    0.22437E+03    0.99733E+01    0.00000E+00   -0.21638E+02    0.22350E-08    0.74708E-06   -0.70062E-07
  1987    0.22463E+03    0.99052E+01    0.00000E+00   -0.21681E+02    0.22332E-08    0.74716E-06   -0.69533E-07
  1988    0.22490E+03    0.98364E+01    0.00000E+00   -0.21720E+02    0.22314E-08    0.74722E-06   -0.68999E-07
  1989    0.22516E+03    0.97675E+01    0.00000E+00   -0.21754E+02    0.22296E-08    0.74724E-06   -0.68459E-07
  1990    0.22544E+03    0.96979E+01    0.00000E+00   -0.21785E+02    0.22278E-08    0.74723E-06   -0.67914E-07
  1991    0.22569E+03    0.96268E+01    0.00000E+00   -0.21811E+02    0.22259E-08    0.74719E-06   -0.67364E-07
  1992    0.22595E+03    0.95564E+01    0.00000E+00   -0.21833E+02    0.22241E-08    0.74712E-06   -0.66809E-07
  1993    0.22622E+03    0.94860E+01    0.00000E+00   -0.21850E+02    0.22223E-08    0.74702E-06   -0.66249E-07
  1994    0.22649E+03    0.94141E+01    0.00000E+00   -0.21864E+02    0.22205E-08    0.74689E-06   -0.65684E-07
  1995    0.22676E+03    0.93421E+01    0.00000E+00   -0.21873E+02    0.22187E-08    0.74673E-06   -0.65114E-07
  1996    0.22702E+03    0.92695E+01    0.00000E+00   -0.21879E+02    0.22169E-08    0.74653E-06   -0.64539E-07
  1997    0.22728E+03    0.91968E+01    0.00000E+00   -0.21878E+02    0.22151E-08    0.74631E-06   -0.63960E-07
  1998    0.22755E+03    0.91248E+01    0.00000E+00   -0.21874E+02    0.22133E-08    0.74606E-06   -0.63377E-07
  1999    0.22781E+03    0.90513E+01    0.00000E+00   -0.21867E+02    0.22115E-08    0.74577E-06   -0.62789E-07
  2000    0.22806E+03    0.89786E+01    0.00000E+00   -0.21854E+02    0.22097E-08    0.74546E-06   -0.62196E-07
  2001    0.22832E+03    0.89058E+01    0.00000E+00   -0.21838E+02    0.22079E-08    0.74511E-06   -0.61600E-07
  2002    0.22858E+03    0.88323E+01    0.00000E+00   -0.21817E+02    0.22062E-08    0.74473E-06   -0.60999E-07
  2003    0.22883E+03    0.87588E+01    0.00000E+00   -0.21793E+02    0.22044E-08    0.74433E-06   -0.60394E-07
  2004    0.22908E+03    0.86853E+01    0.00000E+00   -0.21764E+02    0.22026E-08    0.74389E-06   -0.59785E-07
  2005    0.22932E+03    0.86110E+01    0.00000E+00   -0.21730E+02    0.22008E-08    0.74343E-06   -0.59172E-07
  2006    0.22957E+03    0.85382E+01    0.00000E+00   -0.21694E+02    0.21990E-08    0.74293E-06   -0.58555E-07
  2007    0.22980E+03    0.84639E+01    0.00000E+00   -0.21652E+02    0.21973E-08    0.74241E-06   -0.57934E-07
  2008    0.23004E+03    0.83897E+01    0.00000E+00   -0.21607E+02    0.21955E-08    0.74186E-06   -0.57310E-07
  2009    0.23027E+03    0.83161E+01    0.00000E+00   -0.21557E+02    0.21937E-08    0.74127E-06   -0.56682E-07
  2010    0.23048E+03    0.82425E+01    0.00000E+00   -0.21503E+02    0.21919E-08    0.74066E-06   -0.56050E-07
  2011    0.23071E+03    0.81682E+01    0.00000E+00   -0.21446E+02    0.21902E-08    0.74002E-06   -0.55416E-07
  2012    0.23092E+03    0.80947E+01    0.00000E+00   -0.21385E+02    0.21884E-08    0.73935E-06   -0.54777E-07
  2013    0.23112E+03    0.80204E+01    0.00000E+00   -0.21320E+02    0.21867E-08    0.73865E-06   -0.54136E-07
  2014    0.23133E+03    0.79475E+01    0.00000E+00   -0.21249E+02    0.21849E-08    0.73792E-06   -0.53491E-07
  2015    0.23153E+03    0.78740E+01    0.00000E+00   -0.21177E+02    0.21831E-08    0.73717E-06   -0.52843E-07
  2016    0.23174E+03    0.78012E+01    0.00000E+00   -0.21100E+02    0.21814E-08    0.73638E-06   -0.52192E-07
  2017    0.23191E+03    0.77283E+01    0.00000E+00   -0.21019E+02    0.21796E-08    0.73557E-06   -0.51539E-07
  2018    0.23209E+03    0.76557E+01    0.00000E+00   -0.20935E+02    0.21779E-08    0.73473E-06   -0.50882E-07
  2019    0.23226E+03    0.75832E+01    0.00000E+00   -0.20845E+02    0.21761E-08    0.73386E-06   -0.50223E-07
  2020    0.23243E+03    0.75108E+01    0.00000E+00   -0.20754E+02    0.21744E-08    0.73296E-06   -0.49561E-07
  2021    0.23260E+03    0.74392E+01    0.00000E+00   -0.20658E+02    0.21726E-08    0.73204E-06   -0.48896E-07
  2022    0.23274E+03    0.73677E+01    0.00000E+00   -0.20559E+02    0.21709E-08    0.73109E-06   -0.48229E-07
  2023    0.23289E+03    0.72966E+01    0.00000E+00   -0.20456E+02    0.21692E-08    0.73011E-06   -0.47559E-07
  2024    0.23303E+03    0.72257E+01    0.00000E+00   -0.20350E+02    0.21674E-08    0.72910E-06   -0.46887E-07
  2025    0.23314E+03    0.71552E+01    0.00000E+00   -0.20240E+02    0.21657E-08    0.72807E-06   -0.46213E-07
  2026    0.23327E+03    0.70851E+01    0.00000E+00   -0.20127E+02    0.21640E-08    0.72701E-06   -0.45537E-07
  2027    0.23339E+03    0.70156E+01    0.00000E+00   -0.20011E+02    0.21622E-08    0.72593E-06   -0.44858E-07
  2028    0.23348E+03    0.69464E+01    0.00000E+00   -0.19891E+02    0.21605E-08    0.72482E-06   -0.44178E-07
  2029    0.23358E+03    0.68776E+01    0.00000E+00   -0.19768E+02    0.21588E-08    0.72368E-06   -0.43496E-07
  2030    0.23366E+03    0.68094E+01    0.00000E+00   -0.19642E+02    0.21570E-08    0.72252E-06   -0.42811E-07
  2031    0.23373E+03    0.67416E+01    0.00000E+00   -0.19513E+02    0.21553E-08    0.72133E-06   -0.42126E-07
  2032    0.23381E+03    0.66744E+01    0.00000E+00   -0.19380E+02    0.21536E-08    0.72012E-06   -0.41438E-07
  2033    0.23386E+03    0.66078E+01    0.00000E+00   -0.19245E+02    0.21519E-08    0.71888E-06   -0.40749E-07
  2034    0.23392E+03    0.65417E+01    0.00000E+00   -0.19106E+02    0.21502E-08    0.71762E-06   -0.40058E-07
  2035    0.23395E+03    0.64762E+01    0.00000E+00   -0.18965E+02    0.21485E-08    0.71633E-06   -0.39366E-07
  2036    0.23398E+03    0.64112E+01    0.00000E+00   -0.18821E+02    0.21468E-08    0.71501E-06   -0.38673E-07
  2037    0.23400E+03    0.63470E+01    0.00000E+00   -0.18674E+02    0.21450E-08    0.71368E-06   -0.37978E-07
  2038    0.23400E+03    0.62833E+01    0.00000E+00   -0.18525E+02    0.21433E-08    0.71232E-06   -0.37282E-07
  2039    0.23400E+03    0.62204E+01    0.00000E+00   -0.18371E+02    0.21416E-08    0.71093E-06   -0.36586E-07
  2040    0.23400E+03    0.61580E+01    0.00000E+00   -0.18217E+02    0.21399E-08    0.70952E-06   -0.35888E-07
  2041    0.23397E+03    0.60963E+01    0.00000E+00   -0.18059E+02    0.21382E-08    0.70809E-06   -0.35189E-07
  2042    0.23394E+03    0.60355E+01    0.00000E+00   -0.17899E+02    0.21365E-08    0.70664E-06   -0.34490E-07
  2043    0.23389E+03    0.59753E+01    0.00000E+00   -0.17736E+02    0.21348E-08    0.70516E-06   -0.33789E-07
  2044    0.23384E+03    0.59158E+01    0.00000E+00   -0.17571E+02    0.21331E-08    0.70366E-06   -0.33088E-07
  2045    0.23378E+03    0.58571E+01    0.00000E+00   -0.17404E+02    0.21315E-08    0.70213E-06   -0.32387E-07
  2046    0.23371E+03    0.57991E+01    0.00000E+00   -0.17235E+02    0.21298E-08    0.70059E-06   -0.31685E-07
  2047    0.23362E+03    0.57419E+01    0.00000E+00   -0.17064E+02    0.21281E-08    0.69902E-06   -0.30982E-07
  2048    0.23352E+03    0.56855E+01    0.00000E+00   -0.16890E+02    0.21264E-08    0.69743E-06   -0.30279E-07
  2049    0.23342E+03    0.56300E+01    0.00000E+00   -0.16715E+02    0.21247E-08    0.69581E-06   -0.29576E-07
  2050    0.23330E+03    0.55753E+01    0.00000E+00   -0.16537E+02    0.21230E-08    0.69418E-06   -0.28873E-07
  2051    0.23316E+03    0.55214E+01    0.00000E+00   -0.16358E+02    0.21214E-08    0.69252E-06   -0.28169E-07
  2052    0.23302E+03    0.54684E+01    0.00000E+00   -0.16177E+02    0.21197E-08    0.69085E-06   -0.27466E-07
  2053    0.23286E+03    0.54162E+01    0.00000E+00   -0.15993E+02    0.21180E-08    0.68915E-06   -0.26762E-07
  2054    0.23270E+03    0.53649E+01    0.00000E+00   -0.15809E+02    0.21163E-08    0.68743E-06   -0.26058E-07
  2055    0.23251E+03    0.53144E+01    0.00000E+00   -0.15623E+02    0.21147E-08    0.68569E-06   -0.25355E-07
  2056    0.23232E+03    0.52649E+01    0.00000E+00   -0.15436E+02    0.21130E-08    0.68393E-06   -0.24652E-07
  2057    0.23213E+03    0.52164E+01    0.00000E+00   -0.15246E+02    0.21113E-08    0.68215E-06   -0.23949E-07
  2058    0.23191E+03    0.51687E+01    0.00000E+00   -0.15056E+02    0.21097E-08    0.68035E-06   -0.23246E-07
  2059    0.23169E+03    0.51219E+01    0.00000E+00   -0.14864E+02    0.21080E-08    0.67853E-06   -0.22544E-07
  2060    0.23146E+03    0.50760E+01    0.00000E+00   -0.14670E+02    0.21063E-08    0.67669E-06   -0.21843E-07
  2061    0.23121E+03    0.50311E+01    0.00000E+00   -0.14475E+02    0.21047E-08    0.67483E-06   -0.21142E-07
  2062    0.23096E+03    0.49872E+01    0.00000E+00   -0.14280E+02    0.21030E-08    0.67295E-06   -0.20442E-07
  2063    0.23069E+03    0.49442E+01    0.00000E+00   -0.14083E+02    0.21014E-08    0.67105E-06   -0.19742E-07
  2064    0.23040E+03    0.49023E+01    0.00000E+00   -0.13885E+02    0.20997E-08    0.66914E-06   -0.19043E-07
  2065    0.23010E+03    0.48613E+01    0.00000E+00   -0.13687E+02    0.20981E-08    0.66720E-06   -0.18346E-07
  2066    0.22981E+03    0.48213E+01    0.00000E+00   -0.13488E+02    0.20964E-08    0.66525E-06   -0.17649E-07
  2067    0.22949E+03    0.47823E+01    0.00000E+00   -0.13288E+02    0.20948E-08    0.66328E-06   -0.16953E-07
  2068    0.22915E+03    0.47442E+01    0.00000E+00   -0.13088E+02    0.20932E-08    0.66129E-06   -0.16259E-07
  2069    0.22881E+03    0.47072E+01    0.00000E+00   -0.12886E+02    0.20915E-08    0.65928E-06   -0.15565E-07
  2070    0.22846E+03    0.46712E+01    0.00000E+00   -0.12685E+02    0.20899E-08    0.65725E-06   -0.14873E-07
  2071    0.22809E+03    0.46362E+01    0.00000E+00   -0.12483E+02    0.20882E-08    0.65521E-06   -0.14182E-07
  2072    0.22771E+03    0.46023E+01    0.00000E+00   -0.12281E+02    0.20866E-08    0.65315E-06   -0.13493E-07
  2073    0.22733E+03    0.45693E+01    0.00000E+00   -0.12078E+02    0.20850E-08    0.65108E-06   -0.12805E-07
  2074    0.22693E+03    0.45374E+01    0.00000E+00   -0.11875E+02    0.20833E-08    0.64898E-06   -0.12118E-07
  2075    0.22652E+03    0.45065E+01    0.00000E+00   -0.11672E+02    0.20817E-08    0.64687E-06   -0.11433E-07
  2076    0.22609E+03    0.44766E+01    0.00000E+00   -0.11468E+02    0.20801E-08    0.64475E-06   -0.10750E-07
  2077    0.22566E+03    0.44478E+01    0.00000E+00   -0.11265E+02    0.20785E-08    0.64261E-06   -0.10069E-07
  2078    0.22521E+03    0.44200E+01    0.00000E+00   -0.11062E+02    0.20768E-08    0.64045E-06   -0.93890E-08
  2079    0.22474E+03    0.43933E+01    0.00000E+00   -0.10859E+02    0.20752E-08    0.63828E-06   -0.87112E-08
  2080    0.22428E+03    0.43676E+01    0.00000E+00   -0.10655E+02    0.20736E-08    0.63609E-06   -0.80354E-08
  2081    0.22380E+03    0.43430E+01    0.00000E+00   -0.10453E+02    0.20720E-08    0.63389E-06   -0.73616E-08
  2082    0.22331E+03    0.43194E+01    0.00000E+00   -0.10250E+02    0.20704E-08    0.63167E-06   -0.66899E-08
  2083    0.22281E+03    0.42968E+01    0.00000E+00   -0.10049E+02    0.20688E-08    0.62944E-06   -0.60204E-08
  2084    0.22229E+03    0.42754E+01    0.00000E+00   -0.98481E+01    0.20672E-08    0.62719E-06   -0.53530E-08
  2085    0.22178E+03    0.42549E+01    0.00000E+00   -0.96466E+01    0.20655E-08    0.62493E-06   -0.46880E-08
  2086    0.22124E+03    0.42355E+01    0.00000E+00   -0.94459E+01    0.20639E-08    0.62266E-06   -0.40254E-08
  2087    0.22070E+03    0.42172E+01    0.00000E+00   -0.92467E+01    0.20623E-08    0.62037E-06   -0.33651E-08
  2088    0.22014E+03    0.41998E+01    0.00000E+00   -0.90482E+01    0.20607E-08    0.61807E-06   -0.27074E-08
  2089    0.21958E+03    0.41836E+01    0.00000E+00   -0.88498E+01    0.20591E-08    0.61575E-06   -0.20523E-08
  2090    0.21899E+03    0.41683E+01    0.00000E+00   -0.86528E+01    0.20575E-08    0.61342E-06   -0.13998E-08
  2091    0.21842E+03    0.41541E+01    0.00000E+00   -0.84566E+01    0.20559E-08    0.61108E-06   -0.75002E-09
  2092    0.21782E+03    0.41408E+01    0.00000E+00   -0.82619E+01    0.20544E-08    0.60873E-06   -0.10298E-09
  2093    0.21720E+03    0.41286E+01    0.00000E+00   -0.80664E+01    0.20528E-08    0.60636E-06    0.54124E-09
  2094    0.21659E+03    0.41175E+01    0.00000E+00   -0.78733E+01    0.20512E-08    0.60399E-06    0.11826E-08
  2095    0.21597E+03    0.41073E+01    0.00000E+00   -0.76816E+01    0.20496E-08    0.60160E-06    0.18210E-08
  2096    0.21533E+03    0.40983E+01    0.00000E+00   -0.74916E+01    0.20480E-08    0.59920E-06    0.24565E-08
  2097    0.21469E+03    0.40901E+01    0.00000E+00   -0.73022E+01    0.20464E-08    0.59679E-06    0.30890E-08
  2098    0.21403E+03    0.40830E+01    0.00000E+00   -0.71148E+01    0.20448E-08    0.59436E-06    0.37183E-08
  2099    0.21337E+03    0.40768E+01    0.00000E+00   -0.69277E+01    0.20433E-08    0.59193E-06    0.43445E-08
  2100    0.21270E+03    0.40718E+01    0.00000E+00   -0.67432E+01    0.20417E-08    0.58949E-06    0.49676E-08
  2101    0.21202E+03    0.40676E+01    0.00000E+00   -0.65599E+01    0.20401E-08    0.58704E-06    0.55874E-08
  2102    0.21132E+03    0.40644E+01    0.00000E+00   -0.63780E+01    0.20385E-08    0.58457E-06    0.62039E-08
  2103    0.21062E+03    0.40621E+01    0.00000E+00   -0.61980E+01    0.20370E-08    0.58210E-06    0.68170E-08
  2104    0.20992E+03    0.40608E+01    0.00000E+00   -0.60196E+01    0.20354E-08    0.57962E-06    0.74267E-08
  2105    0.20920E+03    0.40604E+01    0.00000E+00   -0.58429E+01    0.20338E-08    0.57713E-06    0.80330E-08
  2106    0.20848E+03    0.40610E+01    0.00000E+00   -0.56681E+01    0.20323E-08    0.57463E-06    0.86358E-08
  2107    0.20775E+03    0.40625E+01    0.00000E+00   -0.54952E+01    0.20307E-08    0.57212E-06    0.92349E-08
  2108    0.20700E+03    0.40649E+01    0.00000E+00   -0.53242E+01    0.20291E-08    0.56961E-06    0.98305E-08
  2109    0.20626E+03    0.40682E+01    0.00000E+00   -0.51551E+01    0.20276E-08    0.56709E-06    0.10422E-07
  2110    0.20550E+03    0.40725E+01    0.00000E+00   -0.49881E+01    0.20260E-08    0.56456E-06    0.11011E-07
  2111    0.20474E+03    0.40775E+01    0.00000E+00   -0.48231E+01    0.20245E-08    0.56202E-06    0.11595E-07
  2112    0.20397E+03    0.40835E+01    0.00000E+00   -0.46602E+01    0.20229E-08    0.55947E-06    0.12175E-07
  2113    0.20319E+03    0.40902E+01    0.00000E+00   -0.44995E+01    0.20213E-08    0.55692E-06    0.12752E-07
  2114    0.20241E+03    0.40979E+01    0.00000E+00   -0.43410E+01    0.20198E-08    0.55437E-06    0.13325E-07
  2115    0.20162E+03    0.41064E+01    0.00000E+00   -0.41848E+01    0.20182E-08    0.55180E-06    0.13893E-07
  2116    0.20083E+03    0.41159E+01    0.00000E+00   -0.40308E+01    0.20167E-08    0.54923E-06    0.14458E-07
  2117    0.20003E+03    0.41264E+01    0.00000E+00   -0.38793E+01    0.20152E-08    0.54666E-06    0.15018E-07
  2118    0.19922E+03    0.41373E+01    0.00000E+00   -0.37300E+01    0.20136E-08    0.54408E-06    0.15575E-07
  2119    0.19841E+03    0.41491E+01    0.00000E+00   -0.35832E+01    0.20121E-08    0.54149E-06    0.16127E-07
  2120    0.19758E+03    0.41617E+01    0.00000E+00   -0.34388E+01    0.20105E-08    0.53890E-06    0.16675E-07
  2121    0.19676E+03    0.41751E+01    0.00000E+00   -0.32969E+01    0.20090E-08    0.53631E-06    0.17219E-07
  2122    0.19592E+03    0.41892E+01    0.00000E+00   -0.31575E+01    0.20075E-08    0.53371E-06    0.17759E-07
  2123    0.19509E+03    0.42041E+01    0.00000E+00   -0.30208E+01    0.20059E-08    0.53110E-06    0.18294E-07
  2124    0.19426E+03    0.42196E+01    0.00000E+00   -0.28865E+01    0.20044E-08    0.52850E-06    0.18826E-07
  2125    0.19341E+03    0.42360E+01    0.00000E+00   -0.27549E+01    0.20029E-08    0.52589E-06    0.19352E-07
  2126    0.19256E+03    0.42529E+01    0.00000E+00   -0.26259E+01    0.20013E-08    0.52327E-06    0.19875E-07
  2127    0.19171E+03    0.42706E+01    0.00000E+00   -0.24997E+01    0.19998E-08    0.52066E-06    0.20393E-07
  2128    0.19086E+03    0.42890E+01    0.00000E+00   -0.23761E+01    0.19983E-08    0.51804E-06    0.20906E-07
  2129    0.18999E+03    0.43079E+01    0.00000E+00   -0.22552E+01    0.19968E-08    0.51541E-06    0.21415E-07
  2130    0.18913E+03    0.43275E+01    0.00000E+00   -0.21372E+01    0.19952E-08    0.51279E-06    0.21920E-07
  2131    0.18826E+03    0.43479E+01    0.00000E+00   -0.20219E+01    0.19937E-08    0.51016E-06    0.22420E-07
  2132    0.18739E+03    0.43688E+01    0.00000E+00   -0.19094E+01    0.19922E-08    0.50753E-06    0.22916E-07
  2133    0.18652E+03    0.43903E+01    0.00000E+00   -0.17998E+01    0.19907E-08    0.50490E-06    0.23407E-07
  2134    0.18565E+03    0.44124E+01    0.00000E+00   -0.16931E+01    0.19892E-08    0.50227E-06    0.23893E-07
  2135    0.18477E+03    0.44351E+01    0.00000E+00   -0.15890E+01    0.19877E-08    0.49964E-06    0.24374E-07
  2136    0.18388E+03    0.44583E+01    0.00000E+00   -0.14881E+01    0.19862E-08    0.49701E-06    0.24851E-07
  2137    0.18300E+03    0.44821E+01    0.00000E+00   -0.13900E+01    0.19847E-08    0.49437E-06    0.25324E-07
  2138    0.18211E+03    0.45063E+01    0.00000E+00   -0.12949E+01    0.19832E-08    0.49174E-06    0.25791E-07
  2139    0.18123E+03    0.45311E+01    0.00000E+00   -0.12027E+01    0.19816E-08    0.48910E-06    0.26254E-07
  2140    0.18034E+03    0.45564E+01    0.00000E+00   -0.11134E+01    0.19801E-08    0.48647E-06    0.26711E-07
  2141    0.17946E+03    0.45820E+01    0.00000E+00   -0.10272E+01    0.19786E-08    0.48384E-06    0.27164E-07
  2142    0.17856E+03    0.46082E+01    0.00000E+00   -0.94389E+00    0.19771E-08    0.48120E-06    0.27612E-07
  2143    0.17766E+03    0.46348E+01    0.00000E+00   -0.86369E+00    0.19757E-08    0.47857E-06    0.28056E-07
  2144    0.17677E+03    0.46618E+01    0.00000E+00   -0.78633E+00    0.19742E-08    0.47594E-06    0.28494E-07
  2145    0.17588E+03    0.46893E+01    0.00000E+00   -0.71220E+00    0.19727E-08    0.47331E-06    0.28927E-07
  2146    0.17498E+03    0.47170E+01    0.00000E+00   -0.64095E+00    0.19712E-08    0.47068E-06    0.29356E-07
  2147    0.17408E+03    0.47452E+01    0.00000E+00   -0.57278E+00    0.19697E-08    0.46806E-06    0.29779E-07
  2148    0.17320E+03    0.47738E+01    0.00000E+00   -0.50766E+00    0.19682E-08    0.46543E-06    0.30197E-07
  2149    0.17231E+03    0.48028E+01    0.00000E+00   -0.44554E+00    0.19667E-08    0.46281E-06    0.30611E-07
  2150    0.17141E+03    0.48319E+01    0.00000E+00   -0.38648E+00    0.19652E-08    0.46019E-06    0.31019E-07
  2151    0.17052E+03    0.48614E+01    0.00000E+00   -0.33046E+00    0.19638E-08    0.45757E-06    0.31423E-07
  2152    0.16963E+03    0.48912E+01    0.00000E+00   -0.27746E+00    0.19623E-08    0.45496E-06    0.31821E-07
  2153    0.16874E+03    0.49212E+01    0.00000E+00   -0.22752E+00    0.19608E-08    0.45235E-06    0.32214E-07
  2154    0.16785E+03    0.49515E+01    0.00000E+00   -0.18062E+00    0.19593E-08    0.44974E-06    0.32602E-07
  2155    0.16696E+03    0.49820E+01    0.00000E+00   -0.13674E+00    0.19578E-08    0.44713E-06    0.32985E-07
