#    L    TT             EE             BB             TE          
    91    0.24213E+04    0.63323E+00    0.26750E-02   -0.17220E+02
    92    0.24506E+04    0.64865E+00    0.27345E-02   -0.17852E+02
    93    0.24803E+04    0.66405E+00    0.27947E-02   -0.18490E+02
    94    0.25099E+04    0.67939E+00    0.28556E-02   -0.19131E+02
    95    0.25399E+04    0.69468E+00    0.29171E-02   -0.19776E+02
    96    0.25699E+04    0.70989E+00    0.29794E-02   -0.20425E+02
    97    0.26003E+04    0.72501E+00    0.30423E-02   -0.21077E+02
    98    0.26310E+04    0.74004E+00    0.31059E-02   -0.21729E+02
    99    0.26617E+04    0.75493E+00    0.31703E-02   -0.22385E+02
   100    0.26927E+04    0.76969E+00    0.32353E-02   -0.23041E+02
   101    0.27239E+04    0.78437E+00    0.33011E-02   -0.23698E+02
   102    0.27556E+04    0.79883E+00    0.33676E-02   -0.24356E+02
   103    0.27873E+04    0.81315E+00    0.34348E-02   -0.25014E+02
   104    0.28192E+04    0.82731E+00    0.35027E-02   -0.25670E+02
   105    0.28513E+04    0.84125E+00    0.35714E-02   -0.26325E+02
   106    0.28836E+04    0.85504E+00    0.36408E-02   -0.26979E+02
   107    0.29158E+04    0.86854E+00    0.37110E-02   -0.27630E+02
   108    0.29484E+04    0.88181E+00    0.37819E-02   -0.28278E+02
   109    0.29811E+04    0.89478E+00    0.38536E-02   -0.28923E+02
   110    0.30140E+04    0.90745E+00    0.39260E-02   -0.29562E+02
   111    0.30469E+04    0.91990E+00    0.39993E-02   -0.30198E+02
   112    0.30800E+04    0.93205E+00    0.40733E-02   -0.30829E+02
   113    0.31134E+04    0.94391E+00    0.41481E-02   -0.31453E+02
   114    0.31467E+04    0.95538E+00    0.42237E-02   -0.32071E+02
   115    0.31803E+04    0.96664E+00    0.43000E-02   -0.32683E+02
   116    0.32139E+04    0.97744E+00    0.43772E-02   -0.33286E+02
   117    0.32478E+04    0.98788E+00    0.44552E-02   -0.33881E+02
   118    0.32818E+04    0.99808E+00    0.45340E-02   -0.34469E+02
   119    0.33158E+04    0.10079E+01    0.46137E-02   -0.35047E+02
   120    0.33499E+04    0.10172E+01    0.46941E-02   -0.35615E+02
   121    0.33841E+04    0.10263E+01    0.47754E-02   -0.36173E+02
   122    0.34183E+04    0.10349E+01    0.48575E-02   -0.36720E+02
   123    0.34525E+04    0.10430E+01    0.49404E-02   -0.37257E+02
   124    0.34869E+04    0.10507E+01    0.50242E-02   -0.37780E+02
   125    0.35212E+04    0.10580E+01    0.51088E-02   -0.38292E+02
   126    0.35557E+04    0.10649E+01    0.51943E-02   -0.38792E+02
   127    0.35901E+04    0.10713E+01    0.52806E-02   -0.39279E+02
   128    0.36245E+04    0.10774E+01    0.53678E-02   -0.39753E+02
   129    0.36590E+04    0.10829E+01    0.54559E-02   -0.40212E+02
   130    0.36936E+04    0.10878E+01    0.55448E-02   -0.40656E+02
   131    0.37281E+04    0.10924E+01    0.56347E-02   -0.41086E+02
   132    0.37627E+04    0.10965E+01    0.57254E-02   -0.41500E+02
   133    0.37973E+04    0.11002E+01    0.58170E-02   -0.41900E+02
   134    0.38318E+04    0.11033E+01    0.59095E-02   -0.42281E+02
   135    0.38664E+04    0.11060E+01    0.60029E-02   -0.42646E+02
   136    0.39008E+04    0.11081E+01    0.60972E-02   -0.42991E+02
   137    0.39353E+04    0.11098E+01    0.61925E-02   -0.43319E+02
   138    0.39697E+04    0.11110E+01    0.62887E-02   -0.43628E+02
   139    0.40039E+04    0.11118E+01    0.63859E-02   -0.43918E+02
   140    0.40382E+04    0.11120E+01    0.64839E-02   -0.44189E+02
   141    0.40722E+04    0.11116E+01    0.65830E-02   -0.44439E+02
   142    0.41063E+04    0.11109E+01    0.66830E-02   -0.44669E+02
   143    0.41404E+04    0.11096E+01    0.67840E-02   -0.44878E+02
   144    0.41742E+04    0.11079E+01    0.68859E-02   -0.45066E+02
   145    0.42079E+04    0.11058E+01    0.69888E-02   -0.45232E+02
   146    0.42417E+04    0.11031E+01    0.70927E-02   -0.45377E+02
   147    0.42751E+04    0.11000E+01    0.71976E-02   -0.45498E+02
   148    0.43084E+04    0.10964E+01    0.73035E-02   -0.45598E+02
   149    0.43416E+04    0.10923E+01    0.74103E-02   -0.45674E+02
   150    0.43745E+04    0.10879E+01    0.75182E-02   -0.45724E+02
   151    0.44072E+04    0.10830E+01    0.76270E-02   -0.45752E+02
   152    0.44397E+04    0.10777E+01    0.77369E-02   -0.45755E+02
   153    0.44720E+04    0.10719E+01    0.78477E-02   -0.45733E+02
   154    0.45041E+04    0.10658E+01    0.79596E-02   -0.45686E+02
   155    0.45359E+04    0.10593E+01    0.80725E-02   -0.45614E+02
   156    0.45674E+04    0.10524E+01    0.81863E-02   -0.45518E+02
   157    0.45988E+04    0.10452E+01    0.83012E-02   -0.45394E+02
   158    0.46299E+04    0.10377E+01    0.84171E-02   -0.45246E+02
   159    0.46607E+04    0.10297E+01    0.85340E-02   -0.45071E+02
   160    0.46912E+04    0.10214E+01    0.86519E-02   -0.44870E+02
   161    0.47215E+04    0.10130E+01    0.87708E-02   -0.44643E+02
   162    0.47515E+04    0.10041E+01    0.88907E-02   -0.44390E+02
   163    0.47813E+04    0.99498E+00    0.90116E-02   -0.44110E+02
   164    0.48106E+04    0.98562E+00    0.91336E-02   -0.43804E+02
   165    0.48398E+04    0.97598E+00    0.92565E-02   -0.43470E+02
   166    0.48687E+04    0.96618E+00    0.93805E-02   -0.43110E+02
   167    0.48973E+04    0.95603E+00    0.95055E-02   -0.42724E+02
   168    0.49254E+04    0.94588E+00    0.96315E-02   -0.42310E+02
   169    0.49532E+04    0.93544E+00    0.97585E-02   -0.41868E+02
   170    0.49807E+04    0.92493E+00    0.98866E-02   -0.41399E+02
   171    0.50078E+04    0.91435E+00    0.10016E-01   -0.40902E+02
   172    0.50344E+04    0.90364E+00    0.10146E-01   -0.40378E+02
   173    0.50606E+04    0.89278E+00    0.10277E-01   -0.39827E+02
   174    0.50864E+04    0.88209E+00    0.10409E-01   -0.39248E+02
   175    0.51118E+04    0.87125E+00    0.10542E-01   -0.38641E+02
   176    0.51367E+04    0.86050E+00    0.10676E-01   -0.38007E+02
   177    0.51612E+04    0.84975E+00    0.10811E-01   -0.37346E+02
   178    0.51853E+04    0.83924E+00    0.10947E-01   -0.36657E+02
   179    0.52088E+04    0.82867E+00    0.11085E-01   -0.35940E+02
   180    0.52321E+04    0.81825E+00    0.11223E-01   -0.35197E+02
   181    0.52548E+04    0.80800E+00    0.11362E-01   -0.34427E+02
   182    0.52770E+04    0.79798E+00    0.11502E-01   -0.33630E+02
   183    0.52987E+04    0.78812E+00    0.11643E-01   -0.32806E+02
   184    0.53199E+04    0.77849E+00    0.11785E-01   -0.31954E+02
   185    0.53407E+04    0.76925E+00    0.11928E-01   -0.31078E+02
   186    0.53607E+04    0.76026E+00    0.12072E-01   -0.30174E+02
   187    0.53805E+04    0.75164E+00    0.12217E-01   -0.29244E+02
   188    0.53997E+04    0.74340E+00    0.12363E-01   -0.28288E+02
   189    0.54184E+04    0.73556E+00    0.12510E-01   -0.27307E+02
   190    0.54368E+04    0.72818E+00    0.12657E-01   -0.26301E+02
   191    0.54543E+04    0.72129E+00    0.12806E-01   -0.25267E+02
   192    0.54715E+04    0.71490E+00    0.12955E-01   -0.24209E+02
   193    0.54880E+04    0.70906E+00    0.13106E-01   -0.23128E+02
   194    0.55041E+04    0.70380E+00    0.13257E-01   -0.22021E+02
   195    0.55196E+04    0.69916E+00    0.13409E-01   -0.20891E+02
   196    0.55345E+04    0.69517E+00    0.13562E-01   -0.19736E+02
   197    0.55489E+04    0.69188E+00    0.13716E-01   -0.18559E+02
   198    0.55628E+04    0.68932E+00    0.13870E-01   -0.17359E+02
   199    0.55762E+04    0.68751E+00    0.14026E-01   -0.16136E+02
   200    0.55890E+04    0.68650E+00    0.14182E-01   -0.14891E+02
   201    0.56012E+04    0.68634E+00    0.14339E-01   -0.13624E+02
   202    0.56128E+04    0.68703E+00    0.14497E-01   -0.12336E+02
   203    0.56239E+04    0.68865E+00    0.14656E-01   -0.11026E+02
   204    0.56343E+04    0.69120E+00    0.14815E-01   -0.96970E+01
   205    0.56441E+04    0.69474E+00    0.14975E-01   -0.83473E+01
   206    0.56533E+04    0.69930E+00    0.15136E-01   -0.69779E+01
   207    0.56619E+04    0.70491E+00    0.15298E-01   -0.55893E+01
   208    0.56698E+04    0.71162E+00    0.15460E-01   -0.41819E+01
   209    0.56771E+04    0.71944E+00    0.15623E-01   -0.27563E+01
   210    0.56837E+04    0.72844E+00    0.15787E-01   -0.13132E+01
   211    0.56898E+04    0.73865E+00    0.15951E-01    0.14716E+00
   212    0.56951E+04    0.75008E+00    0.16116E-01    0.16239E+01
