#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   944   0.139225E+04   0.516774E+02   0.507396E-05   0.516774E+02   0.375748E+02   0.621322E-06   0.507396E-05   0.621322E-06   0.746182E-08
   945   0.138183E+04   0.507306E+02   0.502347E-05   0.507306E+02   0.378371E+02   0.625049E-06   0.502347E-05   0.625049E-06   0.744935E-08
   946   0.137156E+04   0.497587E+02   0.497312E-05   0.497587E+02   0.380964E+02   0.628681E-06   0.497312E-05   0.628681E-06   0.743691E-08
   947   0.136137E+04   0.487629E+02   0.492297E-05   0.487629E+02   0.383511E+02   0.632182E-06   0.492297E-05   0.632182E-06   0.742451E-08
   948   0.135117E+04   0.477426E+02   0.487311E-05   0.477426E+02   0.386028E+02   0.635515E-06   0.487311E-05   0.635515E-06   0.741213E-08
   949   0.134127E+04   0.466993E+02   0.482359E-05   0.466993E+02   0.388485E+02   0.638655E-06   0.482359E-05   0.638655E-06   0.739978E-08
   950   0.133145E+04   0.456322E+02   0.477438E-05   0.456322E+02   0.390904E+02   0.641625E-06   0.477438E-05   0.641625E-06   0.738747E-08
   951   0.132177E+04   0.445429E+02   0.472542E-05   0.445429E+02   0.393285E+02   0.644458E-06   0.472542E-05   0.644458E-06   0.737519E-08
   952   0.131225E+04   0.434320E+02   0.467665E-05   0.434320E+02   0.395620E+02   0.647190E-06   0.467665E-05   0.647190E-06   0.736293E-08
   953   0.130280E+04   0.422990E+02   0.462802E-05   0.422990E+02   0.397895E+02   0.649854E-06   0.462802E-05   0.649854E-06   0.735071E-08
   954   0.129351E+04   0.411454E+02   0.457947E-05   0.411454E+02   0.400133E+02   0.652484E-06   0.457947E-05   0.652484E-06   0.733852E-08
   955   0.128430E+04   0.399711E+02   0.453095E-05   0.399711E+02   0.402317E+02   0.655115E-06   0.453095E-05   0.655115E-06   0.732636E-08
   956   0.127524E+04   0.387763E+02   0.448242E-05   0.387763E+02   0.404456E+02   0.657770E-06   0.448242E-05   0.657770E-06   0.731422E-08
   957   0.126641E+04   0.375631E+02   0.443392E-05   0.375631E+02   0.406535E+02   0.660428E-06   0.443392E-05   0.660428E-06   0.730212E-08
   958   0.125759E+04   0.363300E+02   0.438551E-05   0.363300E+02   0.408562E+02   0.663057E-06   0.438551E-05   0.663057E-06   0.729005E-08
   959   0.124906E+04   0.350785E+02   0.433726E-05   0.350785E+02   0.410550E+02   0.665626E-06   0.433726E-05   0.665626E-06   0.727801E-08
   960   0.124062E+04   0.338108E+02   0.428922E-05   0.338108E+02   0.412477E+02   0.668102E-06   0.428922E-05   0.668102E-06   0.726600E-08
   961   0.123225E+04   0.325246E+02   0.424146E-05   0.325246E+02   0.414352E+02   0.670454E-06   0.424146E-05   0.670454E-06   0.725401E-08
   962   0.122411E+04   0.312222E+02   0.419404E-05   0.312222E+02   0.416173E+02   0.672649E-06   0.419404E-05   0.672649E-06   0.724206E-08
   963   0.121612E+04   0.299036E+02   0.414699E-05   0.299036E+02   0.417941E+02   0.674667E-06   0.414699E-05   0.674667E-06   0.723014E-08
   964   0.120827E+04   0.285702E+02   0.410029E-05   0.285702E+02   0.419647E+02   0.676526E-06   0.410029E-05   0.676526E-06   0.721824E-08
   965   0.120051E+04   0.272214E+02   0.405386E-05   0.272214E+02   0.421301E+02   0.678257E-06   0.405386E-05   0.678257E-06   0.720638E-08
   966   0.119297E+04   0.258587E+02   0.400764E-05   0.258587E+02   0.422902E+02   0.679888E-06   0.400764E-05   0.679888E-06   0.719454E-08
   967   0.118551E+04   0.244821E+02   0.396158E-05   0.244821E+02   0.424449E+02   0.681451E-06   0.396158E-05   0.681451E-06   0.718273E-08
   968   0.117820E+04   0.230925E+02   0.391560E-05   0.230925E+02   0.425921E+02   0.682973E-06   0.391560E-05   0.682973E-06   0.717096E-08
   969   0.117112E+04   0.216912E+02   0.386965E-05   0.216912E+02   0.427339E+02   0.684486E-06   0.386965E-05   0.684486E-06   0.715921E-08
   970   0.116420E+04   0.202770E+02   0.382369E-05   0.202770E+02   0.428705E+02   0.686010E-06   0.382369E-05   0.686010E-06   0.714749E-08
   971   0.115736E+04   0.188520E+02   0.377777E-05   0.188520E+02   0.430010E+02   0.687528E-06   0.377777E-05   0.687528E-06   0.713580E-08
   972   0.115067E+04   0.174169E+02   0.373196E-05   0.174169E+02   0.431247E+02   0.689013E-06   0.373196E-05   0.689013E-06   0.712413E-08
   973   0.114413E+04   0.159709E+02   0.368636E-05   0.159709E+02   0.432423E+02   0.690440E-06   0.368636E-05   0.690440E-06   0.711250E-08
   974   0.113782E+04   0.145149E+02   0.364103E-05   0.145149E+02   0.433546E+02   0.691782E-06   0.364103E-05   0.691782E-06   0.710090E-08
   975   0.113166E+04   0.130511E+02   0.359605E-05   0.130511E+02   0.434608E+02   0.693014E-06   0.359605E-05   0.693014E-06   0.708932E-08
   976   0.112566E+04   0.115786E+02   0.355151E-05   0.115786E+02   0.435594E+02   0.694110E-06   0.355151E-05   0.694110E-06   0.707777E-08
   977   0.111980E+04   0.100989E+02   0.350744E-05   0.100989E+02   0.436527E+02   0.695050E-06   0.350744E-05   0.695050E-06   0.706625E-08
   978   0.111402E+04   0.861201E+01   0.346381E-05   0.861201E+01   0.437399E+02   0.695849E-06   0.346381E-05   0.695849E-06   0.705476E-08
   979   0.110854E+04   0.711923E+01   0.342053E-05   0.711923E+01   0.438211E+02   0.696527E-06   0.342053E-05   0.696527E-06   0.704329E-08
   980   0.110313E+04   0.562048E+01   0.337752E-05   0.562048E+01   0.438953E+02   0.697106E-06   0.337752E-05   0.697106E-06   0.703186E-08
   981   0.109788E+04   0.411653E+01   0.333471E-05   0.411653E+01   0.439621E+02   0.697607E-06   0.333471E-05   0.697607E-06   0.702045E-08
   982   0.109278E+04   0.260848E+01   0.329202E-05   0.260848E+01   0.440242E+02   0.698050E-06   0.329202E-05   0.698050E-06   0.700907E-08
   983   0.108792E+04   0.109647E+01   0.324937E-05   0.109647E+01   0.440796E+02   0.698457E-06   0.324937E-05   0.698457E-06   0.699772E-08
   984   0.108313E+04  -0.418729E+00   0.320671E-05  -0.418729E+00   0.441266E+02   0.698843E-06   0.320671E-05   0.698843E-06   0.698639E-08
   985   0.107858E+04  -0.193665E+01   0.316408E-05  -0.193665E+01   0.441691E+02   0.699203E-06   0.316408E-05   0.699203E-06   0.697509E-08
   986   0.107410E+04  -0.345626E+01   0.312158E-05  -0.345626E+01   0.442047E+02   0.699524E-06   0.312158E-05   0.699524E-06   0.696382E-08
   987   0.106978E+04  -0.497765E+01   0.307926E-05  -0.497765E+01   0.442336E+02   0.699795E-06   0.307926E-05   0.699795E-06   0.695258E-08
   988   0.106568E+04  -0.649962E+01   0.303722E-05  -0.649962E+01   0.442571E+02   0.700005E-06   0.303722E-05   0.700005E-06   0.694136E-08
   989   0.106174E+04  -0.802082E+01   0.299552E-05  -0.802082E+01   0.442731E+02   0.700141E-06   0.299552E-05   0.700141E-06   0.693018E-08
   990   0.105795E+04  -0.954266E+01   0.295425E-05  -0.954266E+01   0.442860E+02   0.700193E-06   0.295425E-05   0.700193E-06   0.691901E-08
   991   0.105431E+04  -0.110631E+02   0.291347E-05  -0.110631E+02   0.442892E+02   0.700150E-06   0.291347E-05   0.700150E-06   0.690788E-08
   992   0.105082E+04  -0.125822E+02   0.287313E-05  -0.125822E+02   0.442863E+02   0.700012E-06   0.287313E-05   0.700012E-06   0.689677E-08
   993   0.104740E+04  -0.140992E+02   0.283319E-05  -0.140992E+02   0.442766E+02   0.699779E-06   0.283319E-05   0.699779E-06   0.688569E-08
   994   0.104421E+04  -0.156125E+02   0.279360E-05  -0.156125E+02   0.442615E+02   0.699453E-06   0.279360E-05   0.699453E-06   0.687464E-08
   995   0.104125E+04  -0.171229E+02   0.275430E-05  -0.171229E+02   0.442395E+02   0.699034E-06   0.275430E-05   0.699034E-06   0.686361E-08
   996   0.103837E+04  -0.186289E+02   0.271525E-05  -0.186289E+02   0.442092E+02   0.698524E-06   0.271525E-05   0.698524E-06   0.685261E-08
   997   0.103564E+04  -0.201313E+02   0.267640E-05  -0.201313E+02   0.441750E+02   0.697924E-06   0.267640E-05   0.697924E-06   0.684164E-08
   998   0.103306E+04  -0.216270E+02   0.263770E-05  -0.216270E+02   0.441332E+02   0.697235E-06   0.263770E-05   0.697235E-06   0.683069E-08
   999   0.103064E+04  -0.231175E+02   0.259916E-05  -0.231175E+02   0.440853E+02   0.696467E-06   0.259916E-05   0.696467E-06   0.681977E-08
  1000   0.102837E+04  -0.246021E+02   0.256082E-05  -0.246021E+02   0.440312E+02   0.695628E-06   0.256082E-05   0.695628E-06   0.680888E-08
  1001   0.102625E+04  -0.260786E+02   0.252268E-05  -0.260786E+02   0.439703E+02   0.694729E-06   0.252268E-05   0.694729E-06   0.679801E-08
  1002   0.102421E+04  -0.275477E+02   0.248478E-05  -0.275477E+02   0.439027E+02   0.693779E-06   0.248478E-05   0.693779E-06   0.678717E-08
  1003   0.102241E+04  -0.290094E+02   0.244713E-05  -0.290094E+02   0.438298E+02   0.692787E-06   0.244713E-05   0.692787E-06   0.677635E-08
  1004   0.102076E+04  -0.304622E+02   0.240977E-05  -0.304622E+02   0.437502E+02   0.691764E-06   0.240977E-05   0.691764E-06   0.676556E-08
  1005   0.101934E+04  -0.319047E+02   0.237270E-05  -0.319047E+02   0.436646E+02   0.690716E-06   0.237270E-05   0.690716E-06   0.675480E-08
  1006   0.101799E+04  -0.333382E+02   0.233594E-05  -0.333382E+02   0.435724E+02   0.689635E-06   0.233594E-05   0.689635E-06   0.674406E-08
  1007   0.101673E+04  -0.347613E+02   0.229951E-05  -0.347613E+02   0.434740E+02   0.688512E-06   0.229951E-05   0.688512E-06   0.673335E-08
  1008   0.101540E+04  -0.361732E+02   0.226341E-05  -0.361732E+02   0.433697E+02   0.687336E-06   0.226341E-05   0.687336E-06   0.672267E-08
  1009   0.101445E+04  -0.375738E+02   0.222765E-05  -0.375738E+02   0.432592E+02   0.686099E-06   0.222765E-05   0.686099E-06   0.671200E-08
  1010   0.101364E+04  -0.389623E+02   0.219225E-05  -0.389623E+02   0.431433E+02   0.684789E-06   0.219225E-05   0.684789E-06   0.670137E-08
  1011   0.101291E+04  -0.403380E+02   0.215721E-05  -0.403380E+02   0.430219E+02   0.683396E-06   0.215721E-05   0.683396E-06   0.669076E-08
  1012   0.101234E+04  -0.417023E+02   0.212253E-05  -0.417023E+02   0.428936E+02   0.681914E-06   0.212253E-05   0.681914E-06   0.668018E-08
  1013   0.101191E+04  -0.430515E+02   0.208821E-05  -0.430515E+02   0.427606E+02   0.680343E-06   0.208821E-05   0.680343E-06   0.666962E-08
  1014   0.101163E+04  -0.443878E+02   0.205423E-05  -0.443878E+02   0.426207E+02   0.678689E-06   0.205423E-05   0.678689E-06   0.665909E-08
  1015   0.101136E+04  -0.457089E+02   0.202057E-05  -0.457089E+02   0.424762E+02   0.676956E-06   0.202057E-05   0.676956E-06   0.664858E-08
  1016   0.101132E+04  -0.470157E+02   0.198721E-05  -0.470157E+02   0.423248E+02   0.675148E-06   0.198721E-05   0.675148E-06   0.663809E-08
  1017   0.101142E+04  -0.483072E+02   0.195413E-05  -0.483072E+02   0.421689E+02   0.673271E-06   0.195413E-05   0.673271E-06   0.662764E-08
  1018   0.101161E+04  -0.495828E+02   0.192132E-05  -0.495828E+02   0.420062E+02   0.671328E-06   0.192132E-05   0.671328E-06   0.661720E-08
  1019   0.101188E+04  -0.508425E+02   0.188877E-05  -0.508425E+02   0.418398E+02   0.669324E-06   0.188877E-05   0.669324E-06   0.660680E-08
  1020   0.101238E+04  -0.520856E+02   0.185647E-05  -0.520856E+02   0.416659E+02   0.667261E-06   0.185647E-05   0.667261E-06   0.659641E-08
  1021   0.101295E+04  -0.533120E+02   0.182443E-05  -0.533120E+02   0.414875E+02   0.665143E-06   0.182443E-05   0.665143E-06   0.658606E-08
  1022   0.101361E+04  -0.545211E+02   0.179266E-05  -0.545211E+02   0.413045E+02   0.662971E-06   0.179266E-05   0.662971E-06   0.657572E-08
  1023   0.101442E+04  -0.557099E+02   0.176116E-05  -0.557099E+02   0.411156E+02   0.660750E-06   0.176116E-05   0.660750E-06   0.656541E-08
  1024   0.101530E+04  -0.568822E+02   0.172995E-05  -0.568822E+02   0.409213E+02   0.658480E-06   0.172995E-05   0.658480E-06   0.655513E-08
  1025   0.101627E+04  -0.580327E+02   0.169903E-05  -0.580327E+02   0.407232E+02   0.656166E-06   0.169903E-05   0.656166E-06   0.654487E-08
  1026   0.101761E+04  -0.591661E+02   0.166841E-05  -0.591661E+02   0.405191E+02   0.653808E-06   0.166841E-05   0.653808E-06   0.653464E-08
  1027   0.101881E+04  -0.602799E+02   0.163809E-05  -0.602799E+02   0.403118E+02   0.651404E-06   0.163809E-05   0.651404E-06   0.652442E-08
  1028   0.102009E+04  -0.613726E+02   0.160808E-05  -0.613726E+02   0.400992E+02   0.648952E-06   0.160808E-05   0.648952E-06   0.651424E-08
  1029   0.102151E+04  -0.624463E+02   0.157839E-05  -0.624463E+02   0.398813E+02   0.646448E-06   0.157839E-05   0.646448E-06   0.650408E-08
  1030   0.102302E+04  -0.634987E+02   0.154902E-05  -0.634987E+02   0.396595E+02   0.643889E-06   0.154902E-05   0.643889E-06   0.649394E-08
  1031   0.102445E+04  -0.645283E+02   0.151999E-05  -0.645283E+02   0.394331E+02   0.641272E-06   0.151999E-05   0.641272E-06   0.648382E-08
  1032   0.102618E+04  -0.655402E+02   0.149130E-05  -0.655402E+02   0.392006E+02   0.638595E-06   0.149130E-05   0.638595E-06   0.647373E-08
  1033   0.102791E+04  -0.665290E+02   0.146295E-05  -0.665290E+02   0.389650E+02   0.635853E-06   0.146295E-05   0.635853E-06   0.646367E-08
  1034   0.102987E+04  -0.674949E+02   0.143494E-05  -0.674949E+02   0.387263E+02   0.633049E-06   0.143494E-05   0.633049E-06   0.645363E-08
  1035   0.103183E+04  -0.684395E+02   0.140727E-05  -0.684395E+02   0.384822E+02   0.630184E-06   0.140727E-05   0.630184E-06   0.644361E-08
  1036   0.103387E+04  -0.693619E+02   0.137993E-05  -0.693619E+02   0.382336E+02   0.627260E-06   0.137993E-05   0.627260E-06   0.643361E-08
  1037   0.103598E+04  -0.702617E+02   0.135292E-05  -0.702617E+02   0.379820E+02   0.624277E-06   0.135292E-05   0.624277E-06   0.642364E-08
  1038   0.103825E+04  -0.711389E+02   0.132622E-05  -0.711389E+02   0.377273E+02   0.621238E-06   0.132622E-05   0.621238E-06   0.641370E-08
  1039   0.104059E+04  -0.719898E+02   0.129984E-05  -0.719898E+02   0.374681E+02   0.618143E-06   0.129984E-05   0.618143E-06   0.640377E-08
  1040   0.104287E+04  -0.728197E+02   0.127377E-05  -0.728197E+02   0.372051E+02   0.614995E-06   0.127377E-05   0.614995E-06   0.639387E-08
  1041   0.104537E+04  -0.736233E+02   0.124800E-05  -0.736233E+02   0.369398E+02   0.611795E-06   0.124800E-05   0.611795E-06   0.638400E-08
  1042   0.104787E+04  -0.744050E+02   0.122255E-05  -0.744050E+02   0.366701E+02   0.608544E-06   0.122255E-05   0.608544E-06   0.637414E-08
  1043   0.105046E+04  -0.751603E+02   0.119740E-05  -0.751603E+02   0.363973E+02   0.605244E-06   0.119740E-05   0.605244E-06   0.636431E-08
  1044   0.105319E+04  -0.758927E+02   0.117256E-05  -0.758927E+02   0.361207E+02   0.601895E-06   0.117256E-05   0.601895E-06   0.635451E-08
  1045   0.105586E+04  -0.766022E+02   0.114803E-05  -0.766022E+02   0.358434E+02   0.598500E-06   0.114803E-05   0.598500E-06   0.634472E-08
  1046   0.105868E+04  -0.772812E+02   0.112381E-05  -0.772812E+02   0.355615E+02   0.595059E-06   0.112381E-05   0.595059E-06   0.633496E-08
  1047   0.106158E+04  -0.779445E+02   0.109990E-05  -0.779445E+02   0.352766E+02   0.591573E-06   0.109990E-05   0.591573E-06   0.632522E-08
  1048   0.106440E+04  -0.785773E+02   0.107631E-05  -0.785773E+02   0.349894E+02   0.588042E-06   0.107631E-05   0.588042E-06   0.631551E-08
  1049   0.106738E+04  -0.791796E+02   0.105303E-05  -0.791796E+02   0.346999E+02   0.584464E-06   0.105303E-05   0.584464E-06   0.630582E-08
  1050   0.107036E+04  -0.797589E+02   0.103008E-05  -0.797589E+02   0.344074E+02   0.580839E-06   0.103008E-05   0.580839E-06   0.629615E-08
  1051   0.107341E+04  -0.803152E+02   0.100746E-05  -0.803152E+02   0.341125E+02   0.577164E-06   0.100746E-05   0.577164E-06   0.628650E-08
  1052   0.107654E+04  -0.808411E+02   0.985168E-06  -0.808411E+02   0.338154E+02   0.573438E-06   0.985168E-06   0.573438E-06   0.627688E-08
  1053   0.107959E+04  -0.813440E+02   0.963214E-06  -0.813440E+02   0.335159E+02   0.569661E-06   0.963214E-06   0.569661E-06   0.626728E-08
  1054   0.108271E+04  -0.818241E+02   0.941598E-06  -0.818241E+02   0.332149E+02   0.565831E-06   0.941598E-06   0.565831E-06   0.625770E-08
  1055   0.108583E+04  -0.822738E+02   0.920316E-06  -0.822738E+02   0.329124E+02   0.561954E-06   0.920316E-06   0.561954E-06   0.624815E-08
  1056   0.108903E+04  -0.827008E+02   0.899359E-06  -0.827008E+02   0.326076E+02   0.558036E-06   0.899359E-06   0.558036E-06   0.623861E-08
  1057   0.109231E+04  -0.830975E+02   0.878718E-06  -0.830975E+02   0.323012E+02   0.554082E-06   0.878718E-06   0.554082E-06   0.622910E-08
  1058   0.109573E+04  -0.834715E+02   0.858385E-06  -0.834715E+02   0.319940E+02   0.550098E-06   0.858385E-06   0.550098E-06   0.621961E-08
  1059   0.109909E+04  -0.838153E+02   0.838352E-06  -0.838153E+02   0.316845E+02   0.546089E-06   0.838352E-06   0.546089E-06   0.621015E-08
  1060   0.110245E+04  -0.841365E+02   0.818609E-06  -0.841365E+02   0.313736E+02   0.542063E-06   0.818609E-06   0.542063E-06   0.620070E-08
  1061   0.110581E+04  -0.844275E+02   0.799154E-06  -0.844275E+02   0.310625E+02   0.538021E-06   0.799154E-06   0.538021E-06   0.619128E-08
  1062   0.110926E+04  -0.846959E+02   0.779993E-06  -0.846959E+02   0.307500E+02   0.533959E-06   0.779993E-06   0.533959E-06   0.618188E-08
  1063   0.111256E+04  -0.849339E+02   0.761140E-06  -0.849339E+02   0.304366E+02   0.529867E-06   0.761140E-06   0.529867E-06   0.617251E-08
  1064   0.111602E+04  -0.851565E+02   0.742607E-06  -0.851565E+02   0.301225E+02   0.525737E-06   0.742607E-06   0.525737E-06   0.616315E-08
  1065   0.111947E+04  -0.853487E+02   0.724406E-06  -0.853487E+02   0.298068E+02   0.521561E-06   0.724406E-06   0.521561E-06   0.615382E-08
  1066   0.112285E+04  -0.855104E+02   0.706550E-06  -0.855104E+02   0.294911E+02   0.517330E-06   0.706550E-06   0.517330E-06   0.614451E-08
  1067   0.112638E+04  -0.856415E+02   0.689051E-06  -0.856415E+02   0.291753E+02   0.513036E-06   0.689051E-06   0.513036E-06   0.613522E-08
  1068   0.112983E+04  -0.857493E+02   0.671916E-06  -0.857493E+02   0.288587E+02   0.508673E-06   0.671916E-06   0.508673E-06   0.612595E-08
  1069   0.113328E+04  -0.858414E+02   0.655133E-06  -0.858414E+02   0.285428E+02   0.504251E-06   0.655133E-06   0.504251E-06   0.611670E-08
  1070   0.113681E+04  -0.859029E+02   0.638686E-06  -0.859029E+02   0.282254E+02   0.499780E-06   0.638686E-06   0.499780E-06   0.610748E-08
  1071   0.114018E+04  -0.859339E+02   0.622558E-06  -0.859339E+02   0.279095E+02   0.495272E-06   0.622558E-06   0.495272E-06   0.609827E-08
  1072   0.114363E+04  -0.859344E+02   0.606732E-06  -0.859344E+02   0.275929E+02   0.490738E-06   0.606732E-06   0.490738E-06   0.608909E-08
  1073   0.114715E+04  -0.859120E+02   0.591190E-06  -0.859120E+02   0.272770E+02   0.486190E-06   0.591190E-06   0.486190E-06   0.607993E-08
  1074   0.115053E+04  -0.858665E+02   0.575916E-06  -0.858665E+02   0.269619E+02   0.481640E-06   0.575916E-06   0.481640E-06   0.607079E-08
  1075   0.115398E+04  -0.857982E+02   0.560898E-06  -0.857982E+02   0.266461E+02   0.477095E-06   0.560898E-06   0.477095E-06   0.606167E-08
  1076   0.115736E+04  -0.856996E+02   0.546146E-06  -0.856996E+02   0.263319E+02   0.472551E-06   0.546146E-06   0.472551E-06   0.605258E-08
  1077   0.116082E+04  -0.855856E+02   0.531675E-06  -0.855856E+02   0.260184E+02   0.467997E-06   0.531675E-06   0.467997E-06   0.604350E-08
  1078   0.116413E+04  -0.854264E+02   0.517498E-06  -0.854264E+02   0.257065E+02   0.463425E-06   0.517498E-06   0.463425E-06   0.603445E-08
  1079   0.116744E+04  -0.852592E+02   0.503630E-06  -0.852592E+02   0.253946E+02   0.458826E-06   0.503630E-06   0.458826E-06   0.602542E-08
  1080   0.117083E+04  -0.850692E+02   0.490086E-06  -0.850692E+02   0.250834E+02   0.454191E-06   0.490086E-06   0.454191E-06   0.601640E-08
  1081   0.117407E+04  -0.848489E+02   0.476881E-06  -0.848489E+02   0.247752E+02   0.449511E-06   0.476881E-06   0.449511E-06   0.600741E-08
  1082   0.117731E+04  -0.846058E+02   0.464025E-06  -0.846058E+02   0.244678E+02   0.444779E-06   0.464025E-06   0.444779E-06   0.599844E-08
  1083   0.118055E+04  -0.843398E+02   0.451510E-06  -0.843398E+02   0.241611E+02   0.439999E-06   0.451510E-06   0.439999E-06   0.598949E-08
  1084   0.118379E+04  -0.840509E+02   0.439326E-06  -0.840509E+02   0.238566E+02   0.435178E-06   0.439326E-06   0.435178E-06   0.598056E-08
  1085   0.118695E+04  -0.837315E+02   0.427462E-06  -0.837315E+02   0.235537E+02   0.430322E-06   0.427462E-06   0.430322E-06   0.597166E-08
  1086   0.119012E+04  -0.834039E+02   0.415906E-06  -0.834039E+02   0.232529E+02   0.425438E-06   0.415906E-06   0.425438E-06   0.596277E-08
  1087   0.119321E+04  -0.830309E+02   0.404647E-06  -0.830309E+02   0.229544E+02   0.420533E-06   0.404647E-06   0.420533E-06   0.595390E-08
  1088   0.119623E+04  -0.826495E+02   0.393674E-06  -0.826495E+02   0.226560E+02   0.415612E-06   0.393674E-06   0.415612E-06   0.594506E-08
  1089   0.119925E+04  -0.822375E+02   0.382978E-06  -0.822375E+02   0.223612E+02   0.410681E-06   0.382978E-06   0.410681E-06   0.593623E-08
  1090   0.120220E+04  -0.818171E+02   0.372559E-06  -0.818171E+02   0.220687E+02   0.405740E-06   0.372559E-06   0.405740E-06   0.592743E-08
  1091   0.120514E+04  -0.813588E+02   0.362419E-06  -0.813588E+02   0.217777E+02   0.400786E-06   0.362419E-06   0.400786E-06   0.591864E-08
  1092   0.120808E+04  -0.808850E+02   0.352561E-06  -0.808850E+02   0.214890E+02   0.395819E-06   0.352561E-06   0.395819E-06   0.590988E-08
  1093   0.121087E+04  -0.803883E+02   0.342986E-06  -0.803883E+02   0.212041E+02   0.390835E-06   0.342986E-06   0.390835E-06   0.590113E-08
  1094   0.121351E+04  -0.798763E+02   0.333698E-06  -0.798763E+02   0.209206E+02   0.385835E-06   0.333698E-06   0.385835E-06   0.589241E-08
  1095   0.121630E+04  -0.793491E+02   0.324698E-06  -0.793491E+02   0.206417E+02   0.380814E-06   0.324698E-06   0.380814E-06   0.588371E-08
  1096   0.121893E+04  -0.787919E+02   0.315988E-06  -0.787919E+02   0.203636E+02   0.375773E-06   0.315988E-06   0.375773E-06   0.587502E-08
  1097   0.122148E+04  -0.782121E+02   0.307574E-06  -0.782121E+02   0.200893E+02   0.370711E-06   0.307574E-06   0.370711E-06   0.586636E-08
  1098   0.122403E+04  -0.776170E+02   0.299458E-06  -0.776170E+02   0.198188E+02   0.365628E-06   0.299458E-06   0.365628E-06   0.585772E-08
  1099   0.122650E+04  -0.770067E+02   0.291644E-06  -0.770067E+02   0.195513E+02   0.360524E-06   0.291644E-06   0.360524E-06   0.584909E-08
  1100   0.122890E+04  -0.763737E+02   0.284137E-06  -0.763737E+02   0.192876E+02   0.355400E-06   0.284137E-06   0.355400E-06   0.584049E-08
  1101   0.123123E+04  -0.757230E+02   0.276940E-06  -0.757230E+02   0.190262E+02   0.350255E-06   0.276940E-06   0.350255E-06   0.583191E-08
  1102   0.123363E+04  -0.750524E+02   0.270059E-06  -0.750524E+02   0.187686E+02   0.345090E-06   0.270059E-06   0.345090E-06   0.582334E-08
  1103   0.123582E+04  -0.743648E+02   0.263492E-06  -0.743648E+02   0.185148E+02   0.339905E-06   0.263492E-06   0.339905E-06   0.581480E-08
  1104   0.123801E+04  -0.736588E+02   0.257228E-06  -0.736588E+02   0.182656E+02   0.334704E-06   0.257228E-06   0.334704E-06   0.580627E-08
  1105   0.124006E+04  -0.729365E+02   0.251251E-06  -0.729365E+02   0.180194E+02   0.329489E-06   0.251251E-06   0.329489E-06   0.579777E-08
  1106   0.124210E+04  -0.721966E+02   0.245545E-06  -0.721966E+02   0.177763E+02   0.324265E-06   0.245545E-06   0.324265E-06   0.578928E-08
  1107   0.124407E+04  -0.714404E+02   0.240095E-06  -0.714404E+02   0.175377E+02   0.319035E-06   0.240095E-06   0.319035E-06   0.578082E-08
  1108   0.124596E+04  -0.706688E+02   0.234885E-06  -0.706688E+02   0.173021E+02   0.313801E-06   0.234885E-06   0.313801E-06   0.577237E-08
  1109   0.124770E+04  -0.698810E+02   0.229899E-06  -0.698810E+02   0.170689E+02   0.308569E-06   0.229899E-06   0.308569E-06   0.576395E-08
  1110   0.124943E+04  -0.690785E+02   0.225128E-06  -0.690785E+02   0.168424E+02   0.303339E-06   0.225128E-06   0.303339E-06   0.575554E-08
  1111   0.125101E+04  -0.682607E+02   0.220585E-06  -0.682607E+02   0.166197E+02   0.298109E-06   0.220585E-06   0.298109E-06   0.574715E-08
  1112   0.125266E+04  -0.674296E+02   0.216292E-06  -0.674296E+02   0.164008E+02   0.292875E-06   0.216292E-06   0.292875E-06   0.573878E-08
  1113   0.125408E+04  -0.665833E+02   0.212267E-06  -0.665833E+02   0.161871E+02   0.287634E-06   0.212267E-06   0.287634E-06   0.573043E-08
  1114   0.125542E+04  -0.657245E+02   0.208533E-06  -0.657245E+02   0.159765E+02   0.282380E-06   0.208533E-06   0.282380E-06   0.572210E-08
  1115   0.125676E+04  -0.648535E+02   0.205109E-06  -0.648535E+02   0.157712E+02   0.277110E-06   0.205109E-06   0.277110E-06   0.571379E-08
  1116   0.125803E+04  -0.639693E+02   0.202016E-06  -0.639693E+02   0.155704E+02   0.271820E-06   0.202016E-06   0.271820E-06   0.570550E-08
  1117   0.125915E+04  -0.630736E+02   0.199265E-06  -0.630736E+02   0.153741E+02   0.266508E-06   0.199265E-06   0.266508E-06   0.569722E-08
  1118   0.126019E+04  -0.621649E+02   0.196837E-06  -0.621649E+02   0.151831E+02   0.261177E-06   0.196837E-06   0.261177E-06   0.568897E-08
  1119   0.126123E+04  -0.612461E+02   0.194702E-06  -0.612461E+02   0.149959E+02   0.255834E-06   0.194702E-06   0.255834E-06   0.568073E-08
  1120   0.126213E+04  -0.603166E+02   0.192832E-06  -0.603166E+02   0.148140E+02   0.250484E-06   0.192832E-06   0.250484E-06   0.567252E-08
  1121   0.126295E+04  -0.593755E+02   0.191199E-06  -0.593755E+02   0.146367E+02   0.245134E-06   0.191199E-06   0.245134E-06   0.566432E-08
  1122   0.126369E+04  -0.584259E+02   0.189773E-06  -0.584259E+02   0.144640E+02   0.239789E-06   0.189773E-06   0.239789E-06   0.565614E-08
  1123   0.126428E+04  -0.574671E+02   0.188526E-06  -0.574671E+02   0.142973E+02   0.234455E-06   0.188526E-06   0.234455E-06   0.564798E-08
