#    L    TT             EE             TE             PP             TP          
   614   0.210514E+04   0.241215E+02   0.269031E+02   0.668885E+06   0.133230E+03
   615   0.209608E+04   0.244337E+02   0.262707E+02   0.667265E+06   0.133407E+03
   616   0.208709E+04   0.247465E+02   0.256057E+02   0.665650E+06   0.133589E+03
   617   0.207825E+04   0.250586E+02   0.249078E+02   0.664041E+06   0.133775E+03
   618   0.206941E+04   0.253700E+02   0.241765E+02   0.662439E+06   0.133967E+03
   619   0.206057E+04   0.256813E+02   0.234146E+02   0.660843E+06   0.134165E+03
   620   0.205195E+04   0.259896E+02   0.226198E+02   0.659254E+06   0.134369E+03
   621   0.204325E+04   0.262979E+02   0.217931E+02   0.657672E+06   0.134578E+03
   622   0.203470E+04   0.266047E+02   0.209343E+02   0.656097E+06   0.134792E+03
   623   0.202630E+04   0.269092E+02   0.200459E+02   0.654529E+06   0.135009E+03
   624   0.201789E+04   0.272122E+02   0.191263E+02   0.652967E+06   0.135229E+03
   625   0.200956E+04   0.275138E+02   0.181756E+02   0.651412E+06   0.135450E+03
   626   0.200139E+04   0.278140E+02   0.171953E+02   0.649863E+06   0.135671E+03
   627   0.199336E+04   0.281119E+02   0.161855E+02   0.648321E+06   0.135892E+03
   628   0.198541E+04   0.284077E+02   0.151462E+02   0.646785E+06   0.136112E+03
   629   0.197760E+04   0.287012E+02   0.140780E+02   0.645254E+06   0.136331E+03
   630   0.196980E+04   0.289925E+02   0.129801E+02   0.643729E+06   0.136551E+03
   631   0.196215E+04   0.292816E+02   0.118556E+02   0.642210E+06   0.136770E+03
   632   0.195472E+04   0.295677E+02   0.107021E+02   0.640695E+06   0.136988E+03
   633   0.194729E+04   0.298522E+02   0.952182E+01   0.639185E+06   0.137207E+03
   634   0.194009E+04   0.301322E+02   0.831476E+01   0.637680E+06   0.137426E+03
   635   0.193303E+04   0.304106E+02   0.708130E+01   0.636179E+06   0.137645E+03
   636   0.192598E+04   0.306868E+02   0.582217E+01   0.634683E+06   0.137864E+03
   637   0.191915E+04   0.309577E+02   0.453682E+01   0.633193E+06   0.138083E+03
   638   0.191247E+04   0.312271E+02   0.322744E+01   0.631709E+06   0.138302E+03
   639   0.190594E+04   0.314921E+02   0.189312E+01   0.630232E+06   0.138521E+03
   640   0.189957E+04   0.317547E+02   0.535503E+00   0.628761E+06   0.138740E+03
   641   0.189334E+04   0.320137E+02  -0.845409E+00   0.627297E+06   0.138959E+03
   642   0.188719E+04   0.322681E+02  -0.224883E+01   0.625840E+06   0.139178E+03
   643   0.188127E+04   0.325203E+02  -0.367428E+01   0.624389E+06   0.139398E+03
   644   0.187558E+04   0.327666E+02  -0.512110E+01   0.622944E+06   0.139618E+03
   645   0.186996E+04   0.330098E+02  -0.658897E+01   0.621504E+06   0.139839E+03
   646   0.186449E+04   0.332494E+02  -0.807724E+01   0.620069E+06   0.140061E+03
   647   0.185933E+04   0.334844E+02  -0.958575E+01   0.618638E+06   0.140284E+03
   648   0.185417E+04   0.337156E+02  -0.111126E+02   0.617212E+06   0.140509E+03
   649   0.184931E+04   0.339417E+02  -0.126585E+02   0.615789E+06   0.140733E+03
   650   0.184460E+04   0.341632E+02  -0.142220E+02   0.614371E+06   0.140958E+03
   651   0.184004E+04   0.343817E+02  -0.158030E+02   0.612957E+06   0.141182E+03
   652   0.183563E+04   0.345949E+02  -0.174009E+02   0.611548E+06   0.141404E+03
   653   0.183153E+04   0.348020E+02  -0.190141E+02   0.610144E+06   0.141623E+03
   654   0.182749E+04   0.350054E+02  -0.206420E+02   0.608745E+06   0.141839E+03
   655   0.182361E+04   0.352042E+02  -0.222852E+02   0.607351E+06   0.142051E+03
   656   0.182002E+04   0.353978E+02  -0.239423E+02   0.605963E+06   0.142261E+03
   657   0.181659E+04   0.355860E+02  -0.256117E+02   0.604581E+06   0.142471E+03
   658   0.181323E+04   0.357697E+02  -0.272941E+02   0.603204E+06   0.142682E+03
   659   0.181026E+04   0.359482E+02  -0.289881E+02   0.601832E+06   0.142895E+03
   660   0.180743E+04   0.361206E+02  -0.306929E+02   0.600467E+06   0.143114E+03
   661   0.180477E+04   0.362878E+02  -0.324068E+02   0.599108E+06   0.143340E+03
   662   0.180233E+04   0.364505E+02  -0.341315E+02   0.597754E+06   0.143572E+03
   663   0.180006E+04   0.366079E+02  -0.358654E+02   0.596407E+06   0.143807E+03
   664   0.179801E+04   0.367585E+02  -0.376063E+02   0.595064E+06   0.144037E+03
   665   0.179612E+04   0.369038E+02  -0.393550E+02   0.593727E+06   0.144257E+03
   666   0.179445E+04   0.370438E+02  -0.411099E+02   0.592394E+06   0.144460E+03
   667   0.179301E+04   0.371777E+02  -0.428711E+02   0.591066E+06   0.144639E+03
   668   0.179164E+04   0.373062E+02  -0.446379E+02   0.589741E+06   0.144788E+03
   669   0.179064E+04   0.374285E+02  -0.464087E+02   0.588420E+06   0.144906E+03
   670   0.178972E+04   0.375448E+02  -0.481820E+02   0.587103E+06   0.145010E+03
   671   0.178910E+04   0.376564E+02  -0.499594E+02   0.585789E+06   0.145120E+03
   672   0.178855E+04   0.377605E+02  -0.517392E+02   0.584481E+06   0.145258E+03
   673   0.178830E+04   0.378599E+02  -0.535193E+02   0.583177E+06   0.145446E+03
   674   0.178821E+04   0.379526E+02  -0.553003E+02   0.581878E+06   0.145705E+03
   675   0.178835E+04   0.380393E+02  -0.570814E+02   0.580585E+06   0.146056E+03
   676   0.178864E+04   0.381199E+02  -0.588606E+02   0.579297E+06   0.146505E+03
   677   0.178916E+04   0.381945E+02  -0.606383E+02   0.578015E+06   0.146991E+03
   678   0.178991E+04   0.382623E+02  -0.624140E+02   0.576738E+06   0.147439E+03
   679   0.179082E+04   0.383249E+02  -0.641862E+02   0.575467E+06   0.147773E+03
   680   0.179202E+04   0.383813E+02  -0.659549E+02   0.574201E+06   0.147916E+03
   681   0.179339E+04   0.384310E+02  -0.677178E+02   0.572940E+06   0.147792E+03
   682   0.179490E+04   0.384739E+02  -0.694765E+02   0.571684E+06   0.147326E+03
   683   0.179672E+04   0.385121E+02  -0.712302E+02   0.570432E+06   0.146499E+03
   684   0.179862E+04   0.385421E+02  -0.729766E+02   0.569185E+06   0.145535E+03
   685   0.180067E+04   0.385667E+02  -0.747157E+02   0.567941E+06   0.144714E+03
   686   0.180295E+04   0.385845E+02  -0.764385E+02   0.566700E+06   0.144318E+03
   687   0.180553E+04   0.385970E+02  -0.781561E+02   0.565460E+06   0.144626E+03
   688   0.180819E+04   0.386019E+02  -0.798661E+02   0.564222E+06   0.145921E+03
   689   0.181108E+04   0.386008E+02  -0.815611E+02   0.562983E+06   0.148484E+03
   690   0.181413E+04   0.385943E+02  -0.832485E+02   0.561745E+06   0.152476E+03
   691   0.181740E+04   0.385795E+02  -0.849208E+02   0.560507E+06   0.157588E+03
   692   0.182083E+04   0.385602E+02  -0.865780E+02   0.559272E+06   0.163387E+03
   693   0.182448E+04   0.385341E+02  -0.882276E+02   0.558040E+06   0.169445E+03
   694   0.182822E+04   0.385013E+02  -0.898547E+02   0.556814E+06   0.175331E+03
   695   0.183225E+04   0.384639E+02  -0.914668E+02   0.555594E+06   0.180616E+03
   696   0.183644E+04   0.384191E+02  -0.930787E+02   0.554382E+06   0.184868E+03
   697   0.184077E+04   0.383683E+02  -0.946607E+02   0.553179E+06   0.187774E+03
   698   0.184526E+04   0.383109E+02  -0.962276E+02   0.551985E+06   0.189480E+03
   699   0.184990E+04   0.382481E+02  -0.977721E+02   0.550798E+06   0.190250E+03
   700   0.185477E+04   0.381786E+02  -0.993014E+02   0.549617E+06   0.190346E+03
   701   0.185980E+04   0.381031E+02  -0.100816E+03   0.548443E+06   0.190031E+03
   702   0.186498E+04   0.380222E+02  -0.102300E+03   0.547272E+06   0.189567E+03
   703   0.187031E+04   0.379346E+02  -0.103784E+03   0.546106E+06   0.189218E+03
   704   0.187581E+04   0.378416E+02  -0.105230E+03   0.544942E+06   0.189190E+03
   705   0.188138E+04   0.377418E+02  -0.106654E+03   0.543781E+06   0.189469E+03
   706   0.188719E+04   0.376366E+02  -0.108062E+03   0.542623E+06   0.189986E+03
   707   0.189307E+04   0.375254E+02  -0.109448E+03   0.541469E+06   0.190670E+03
   708   0.189926E+04   0.374089E+02  -0.110795E+03   0.540318E+06   0.191452E+03
   709   0.190544E+04   0.372864E+02  -0.112135E+03   0.539171E+06   0.192262E+03
   710   0.191185E+04   0.371578E+02  -0.113444E+03   0.538028E+06   0.193029E+03
   711   0.191833E+04   0.370239E+02  -0.114723E+03   0.536889E+06   0.193699E+03
   712   0.192496E+04   0.368847E+02  -0.115987E+03   0.535754E+06   0.194277E+03
   713   0.193182E+04   0.367396E+02  -0.117212E+03   0.534624E+06   0.194779E+03
   714   0.193861E+04   0.365899E+02  -0.118415E+03   0.533497E+06   0.195227E+03
   715   0.194562E+04   0.364342E+02  -0.119594E+03   0.532375E+06   0.195638E+03
   716   0.195278E+04   0.362733E+02  -0.120743E+03   0.531256E+06   0.196031E+03
   717   0.196003E+04   0.361079E+02  -0.121854E+03   0.530141E+06   0.196425E+03
   718   0.196736E+04   0.359373E+02  -0.122950E+03   0.529030E+06   0.196835E+03
   719   0.197484E+04   0.357599E+02  -0.124001E+03   0.527922E+06   0.197259E+03
   720   0.198234E+04   0.355787E+02  -0.125036E+03   0.526818E+06   0.197690E+03
   721   0.199013E+04   0.353938E+02  -0.126025E+03   0.525718E+06   0.198123E+03
   722   0.199785E+04   0.352027E+02  -0.126985E+03   0.524621E+06   0.198552E+03
   723   0.200572E+04   0.350079E+02  -0.127921E+03   0.523528E+06   0.198969E+03
   724   0.201367E+04   0.348077E+02  -0.128827E+03   0.522439E+06   0.199370E+03
   725   0.202169E+04   0.346037E+02  -0.129695E+03   0.521354E+06   0.199750E+03
   726   0.202986E+04   0.343965E+02  -0.130526E+03   0.520272E+06   0.200110E+03
   727   0.203803E+04   0.341833E+02  -0.131333E+03   0.519193E+06   0.200454E+03
   728   0.204628E+04   0.339648E+02  -0.132103E+03   0.518119E+06   0.200785E+03
   729   0.205460E+04   0.337433E+02  -0.132843E+03   0.517047E+06   0.201106E+03
   730   0.206293E+04   0.335180E+02  -0.133545E+03   0.515980E+06   0.201420E+03
   731   0.207148E+04   0.332874E+02  -0.134210E+03   0.514916E+06   0.201731E+03
   732   0.207997E+04   0.330553E+02  -0.134837E+03   0.513855E+06   0.202041E+03
   733   0.208860E+04   0.328180E+02  -0.135442E+03   0.512798E+06   0.202349E+03
   734   0.209724E+04   0.325777E+02  -0.135994E+03   0.511745E+06   0.202652E+03
   735   0.210596E+04   0.323329E+02  -0.136531E+03   0.510694E+06   0.202949E+03
   736   0.211460E+04   0.320850E+02  -0.137015E+03   0.509648E+06   0.203236E+03
   737   0.212339E+04   0.318348E+02  -0.137475E+03   0.508605E+06   0.203513E+03
   738   0.213210E+04   0.315816E+02  -0.137883E+03   0.507565E+06   0.203776E+03
   739   0.214089E+04   0.313245E+02  -0.138259E+03   0.506528E+06   0.204024E+03
   740   0.214967E+04   0.310644E+02  -0.138604E+03   0.505495E+06   0.204256E+03
   741   0.215853E+04   0.308004E+02  -0.138911E+03   0.504466E+06   0.204474E+03
   742   0.216739E+04   0.305364E+02  -0.139173E+03   0.503439E+06   0.204677E+03
   743   0.217625E+04   0.302701E+02  -0.139404E+03   0.502416E+06   0.204865E+03
   744   0.218519E+04   0.300000E+02  -0.139590E+03   0.501397E+06   0.205039E+03
   745   0.219406E+04   0.297276E+02  -0.139753E+03   0.500380E+06   0.205200E+03
   746   0.220286E+04   0.294536E+02  -0.139856E+03   0.499367E+06   0.205347E+03
   747   0.221167E+04   0.291766E+02  -0.139937E+03   0.498357E+06   0.205482E+03
   748   0.222056E+04   0.288988E+02  -0.139980E+03   0.497351E+06   0.205604E+03
   749   0.222945E+04   0.286173E+02  -0.139993E+03   0.496347E+06   0.205716E+03
   750   0.223826E+04   0.283358E+02  -0.139961E+03   0.495347E+06   0.205817E+03
   751   0.224708E+04   0.280520E+02  -0.139891E+03   0.494350E+06   0.205909E+03
   752   0.225589E+04   0.277682E+02  -0.139776E+03   0.493357E+06   0.205992E+03
   753   0.226463E+04   0.274815E+02  -0.139630E+03   0.492366E+06   0.206067E+03
   754   0.227329E+04   0.271947E+02  -0.139439E+03   0.491379E+06   0.206133E+03
   755   0.228202E+04   0.269065E+02  -0.139218E+03   0.490395E+06   0.206188E+03
   756   0.229053E+04   0.266174E+02  -0.138958E+03   0.489413E+06   0.206233E+03
   757   0.229918E+04   0.263284E+02  -0.138652E+03   0.488435E+06   0.206265E+03
   758   0.230761E+04   0.260378E+02  -0.138309E+03   0.487461E+06   0.206285E+03
   759   0.231611E+04   0.257465E+02  -0.137934E+03   0.486489E+06   0.206289E+03
   760   0.232446E+04   0.254551E+02  -0.137520E+03   0.485520E+06   0.206279E+03
   761   0.233274E+04   0.251636E+02  -0.137068E+03   0.484554E+06   0.206254E+03
   762   0.234109E+04   0.248721E+02  -0.136578E+03   0.483592E+06   0.206216E+03
   763   0.234922E+04   0.245814E+02  -0.136050E+03   0.482632E+06   0.206165E+03
   764   0.235735E+04   0.242898E+02  -0.135491E+03   0.481675E+06   0.206101E+03
   765   0.236533E+04   0.239984E+02  -0.134888E+03   0.480722E+06   0.206027E+03
   766   0.237331E+04   0.237084E+02  -0.134254E+03   0.479771E+06   0.205942E+03
   767   0.238115E+04   0.234191E+02  -0.133584E+03   0.478823E+06   0.205847E+03
   768   0.238891E+04   0.231300E+02  -0.132869E+03   0.477879E+06   0.205743E+03
   769   0.239659E+04   0.228408E+02  -0.132131E+03   0.476937E+06   0.205629E+03
   770   0.240412E+04   0.225539E+02  -0.131355E+03   0.475998E+06   0.205507E+03
   771   0.241158E+04   0.222678E+02  -0.130542E+03   0.475062E+06   0.205375E+03
   772   0.241889E+04   0.219831E+02  -0.129682E+03   0.474129E+06   0.205234E+03
   773   0.242612E+04   0.217000E+02  -0.128800E+03   0.473199E+06   0.205085E+03
   774   0.243320E+04   0.214183E+02  -0.127886E+03   0.472272E+06   0.204926E+03
   775   0.244027E+04   0.211382E+02  -0.126933E+03   0.471347E+06   0.204759E+03
   776   0.244705E+04   0.208602E+02  -0.125950E+03   0.470426E+06   0.204584E+03
   777   0.245374E+04   0.205838E+02  -0.124928E+03   0.469507E+06   0.204401E+03
   778   0.246051E+04   0.203095E+02  -0.123868E+03   0.468591E+06   0.204210E+03
   779   0.246690E+04   0.200375E+02  -0.122785E+03   0.467678E+06   0.204011E+03
   780   0.247322E+04   0.197663E+02  -0.121664E+03   0.466767E+06   0.203804E+03
   781   0.247946E+04   0.194995E+02  -0.120520E+03   0.465860E+06   0.203591E+03
   782   0.248548E+04   0.192342E+02  -0.119353E+03   0.464955E+06   0.203369E+03
   783   0.249141E+04   0.189718E+02  -0.118141E+03   0.464053E+06   0.203140E+03
   784   0.249720E+04   0.187126E+02  -0.116898E+03   0.463154E+06   0.202902E+03
   785   0.250277E+04   0.184556E+02  -0.115633E+03   0.462257E+06   0.202656E+03
   786   0.250825E+04   0.182016E+02  -0.114316E+03   0.461363E+06   0.202401E+03
   787   0.251351E+04   0.179515E+02  -0.112983E+03   0.460472E+06   0.202137E+03
   788   0.251862E+04   0.177037E+02  -0.111628E+03   0.459583E+06   0.201863E+03
   789   0.252358E+04   0.174583E+02  -0.110250E+03   0.458698E+06   0.201579E+03
   790   0.252846E+04   0.172188E+02  -0.108834E+03   0.457815E+06   0.201286E+03
   791   0.253311E+04   0.169817E+02  -0.107388E+03   0.456934E+06   0.200981E+03
   792   0.253761E+04   0.167490E+02  -0.105926E+03   0.456056E+06   0.200666E+03
   793   0.254188E+04   0.165208E+02  -0.104426E+03   0.455181E+06   0.200339E+03
   794   0.254591E+04   0.162963E+02  -0.102910E+03   0.454308E+06   0.200001E+03
   795   0.254979E+04   0.160748E+02  -0.101363E+03   0.453438E+06   0.199650E+03
   796   0.255367E+04   0.158585E+02  -0.997996E+02   0.452571E+06   0.199288E+03
   797   0.255717E+04   0.156451E+02  -0.982056E+02   0.451706E+06   0.198914E+03
   798   0.256051E+04   0.154370E+02  -0.965961E+02   0.450844E+06   0.198527E+03
   799   0.256371E+04   0.152335E+02  -0.949637E+02   0.449984E+06   0.198129E+03
   800   0.256676E+04   0.150338E+02  -0.933087E+02   0.449127E+06   0.197719E+03
   801   0.256958E+04   0.148394E+02  -0.916387E+02   0.448272E+06   0.197298E+03
   802   0.257211E+04   0.146497E+02  -0.899316E+02   0.447420E+06   0.196865E+03
   803   0.257464E+04   0.144639E+02  -0.882245E+02   0.446570E+06   0.196421E+03
   804   0.257687E+04   0.142842E+02  -0.864875E+02   0.445723E+06   0.195967E+03
   805   0.257902E+04   0.141090E+02  -0.847354E+02   0.444879E+06   0.195505E+03
   806   0.258087E+04   0.139383E+02  -0.829679E+02   0.444037E+06   0.195035E+03
   807   0.258249E+04   0.137737E+02  -0.811850E+02   0.443197E+06   0.194559E+03
   808   0.258388E+04   0.136142E+02  -0.793790E+02   0.442360E+06   0.194077E+03
   809   0.258518E+04   0.134600E+02  -0.775648E+02   0.441525E+06   0.193590E+03
   810   0.258617E+04   0.133110E+02  -0.757275E+02   0.440692E+06   0.193098E+03
   811   0.258693E+04   0.131672E+02  -0.738753E+02   0.439863E+06   0.192603E+03
   812   0.258754E+04   0.130302E+02  -0.720128E+02   0.439035E+06   0.192104E+03
   813   0.258791E+04   0.128970E+02  -0.701394E+02   0.438210E+06   0.191601E+03
   814   0.258821E+04   0.127706E+02  -0.682528E+02   0.437387E+06   0.191095E+03
   815   0.258820E+04   0.126496E+02  -0.663553E+02   0.436567E+06   0.190587E+03
   816   0.258790E+04   0.125346E+02  -0.644472E+02   0.435749E+06   0.190076E+03
   817   0.258744E+04   0.124250E+02  -0.625290E+02   0.434933E+06   0.189561E+03
   818   0.258691E+04   0.123222E+02  -0.606016E+02   0.434120E+06   0.189041E+03
   819   0.258607E+04   0.122248E+02  -0.586658E+02   0.433309E+06   0.188514E+03
   820   0.258508E+04   0.121334E+02  -0.567217E+02   0.432500E+06   0.187980E+03
   821   0.258380E+04   0.120473E+02  -0.547721E+02   0.431694E+06   0.187436E+03
   822   0.258236E+04   0.119687E+02  -0.528158E+02   0.430890E+06   0.186882E+03
   823   0.258069E+04   0.118954E+02  -0.508534E+02   0.430088E+06   0.186316E+03
   824   0.257873E+04   0.118288E+02  -0.488857E+02   0.429289E+06   0.185739E+03
   825   0.257668E+04   0.117675E+02  -0.469148E+02   0.428492E+06   0.185149E+03
   826   0.257433E+04   0.117137E+02  -0.449400E+02   0.427697E+06   0.184547E+03
   827   0.257175E+04   0.116653E+02  -0.429635E+02   0.426904E+06   0.183932E+03
   828   0.256909E+04   0.116237E+02  -0.409843E+02   0.426114E+06   0.183306E+03
   829   0.256612E+04   0.115889E+02  -0.390041E+02   0.425326E+06   0.182667E+03
   830   0.256299E+04   0.115602E+02  -0.370249E+02   0.424540E+06   0.182016E+03
   831   0.255963E+04   0.115376E+02  -0.350454E+02   0.423756E+06   0.181354E+03
   832   0.255604E+04   0.115211E+02  -0.330671E+02   0.422975E+06   0.180682E+03
   833   0.255230E+04   0.115114E+02  -0.310909E+02   0.422196E+06   0.180003E+03
   834   0.254826E+04   0.115077E+02  -0.291168E+02   0.421419E+06   0.179318E+03
   835   0.254414E+04   0.115117E+02  -0.271465E+02   0.420644E+06   0.178628E+03
   836   0.253965E+04   0.115209E+02  -0.251800E+02   0.419871E+06   0.177935E+03
   837   0.253508E+04   0.115369E+02  -0.232188E+02   0.419100E+06   0.177240E+03
   838   0.253029E+04   0.115597E+02  -0.212630E+02   0.418332E+06   0.176544E+03
   839   0.252520E+04   0.115885E+02  -0.193125E+02   0.417566E+06   0.175847E+03
   840   0.252003E+04   0.116249E+02  -0.173695E+02   0.416802E+06   0.175149E+03
   841   0.251462E+04   0.116666E+02  -0.154355E+02   0.416040E+06   0.174449E+03
   842   0.250899E+04   0.117144E+02  -0.135074E+02   0.415280E+06   0.173750E+03
   843   0.250319E+04   0.117690E+02  -0.115912E+02   0.414522E+06   0.173049E+03
   844   0.249709E+04   0.118305E+02  -0.968307E+01   0.413766E+06   0.172348E+03
   845   0.249089E+04   0.118973E+02  -0.778607E+01   0.413013E+06   0.171645E+03
   846   0.248454E+04   0.119724E+02  -0.590075E+01   0.412261E+06   0.170938E+03
   847   0.247803E+04   0.120521E+02  -0.402684E+01   0.411512E+06   0.170226E+03
   848   0.247129E+04   0.121386E+02  -0.216633E+01   0.410765E+06   0.169507E+03
   849   0.246425E+04   0.122311E+02  -0.318631E+00   0.410019E+06   0.168779E+03
   850   0.245721E+04   0.123304E+02   0.151510E+01   0.409276E+06   0.168041E+03
   851   0.244987E+04   0.124358E+02   0.333424E+01   0.408535E+06   0.167291E+03
   852   0.244238E+04   0.125479E+02   0.513835E+01   0.407796E+06   0.166529E+03
   853   0.243474E+04   0.126654E+02   0.692668E+01   0.407059E+06   0.165757E+03
   854   0.242687E+04   0.127896E+02   0.869778E+01   0.406324E+06   0.164975E+03
   855   0.241878E+04   0.129199E+02   0.104526E+02   0.405591E+06   0.164183E+03
   856   0.241069E+04   0.130548E+02   0.121893E+02   0.404860E+06   0.163384E+03
   857   0.240230E+04   0.131964E+02   0.139070E+02   0.404130E+06   0.162576E+03
   858   0.239375E+04   0.133457E+02   0.156058E+02   0.403403E+06   0.161762E+03
   859   0.238505E+04   0.134980E+02   0.172864E+02   0.402678E+06   0.160944E+03
   860   0.237627E+04   0.136572E+02   0.189458E+02   0.401955E+06   0.160122E+03
   861   0.236726E+04   0.138224E+02   0.205840E+02   0.401234E+06   0.159299E+03
   862   0.235810E+04   0.139929E+02   0.222018E+02   0.400515E+06   0.158478E+03
   863   0.234878E+04   0.141695E+02   0.237970E+02   0.399797E+06   0.157660E+03
   864   0.233930E+04   0.143507E+02   0.253704E+02   0.399082E+06   0.156847E+03
   865   0.232952E+04   0.145379E+02   0.269196E+02   0.398369E+06   0.156041E+03
   866   0.231995E+04   0.147305E+02   0.284454E+02   0.397657E+06   0.155240E+03
   867   0.231000E+04   0.149291E+02   0.299470E+02   0.396947E+06   0.154441E+03
   868   0.229998E+04   0.151322E+02   0.314245E+02   0.396240E+06   0.153642E+03
   869   0.228980E+04   0.153407E+02   0.328770E+02   0.395534E+06   0.152842E+03
   870   0.227948E+04   0.155537E+02   0.343039E+02   0.394830E+06   0.152037E+03
   871   0.226907E+04   0.157720E+02   0.357042E+02   0.394128E+06   0.151226E+03
   872   0.225852E+04   0.159956E+02   0.370788E+02   0.393428E+06   0.150406E+03
   873   0.224782E+04   0.162238E+02   0.384262E+02   0.392730E+06   0.149577E+03
   874   0.223704E+04   0.164573E+02   0.397455E+02   0.392033E+06   0.148739E+03
   875   0.222610E+04   0.166938E+02   0.410381E+02   0.391339E+06   0.147893E+03
   876   0.221502E+04   0.169363E+02   0.423027E+02   0.390646E+06   0.147039E+03
   877   0.220400E+04   0.171827E+02   0.435377E+02   0.389955E+06   0.146176E+03
   878   0.219267E+04   0.174329E+02   0.447437E+02   0.389266E+06   0.145306E+03
   879   0.218134E+04   0.176884E+02   0.459208E+02   0.388579E+06   0.144427E+03
   880   0.216993E+04   0.179476E+02   0.470681E+02   0.387894E+06   0.143544E+03
   881   0.215836E+04   0.182100E+02   0.481844E+02   0.387210E+06   0.142657E+03
   882   0.214671E+04   0.184769E+02   0.492703E+02   0.386529E+06   0.141770E+03
   883   0.213505E+04   0.187483E+02   0.503243E+02   0.385849E+06   0.140884E+03
   884   0.212317E+04   0.190221E+02   0.513488E+02   0.385171E+06   0.140003E+03
   885   0.211121E+04   0.193004E+02   0.523408E+02   0.384494E+06   0.139128E+03
   886   0.209925E+04   0.195825E+02   0.533010E+02   0.383820E+06   0.138261E+03
   887   0.208714E+04   0.198669E+02   0.542295E+02   0.383147E+06   0.137400E+03
   888   0.207510E+04   0.201559E+02   0.551254E+02   0.382476E+06   0.136543E+03
   889   0.206277E+04   0.204464E+02   0.559887E+02   0.381807E+06   0.135687E+03
   890   0.205050E+04   0.207415E+02   0.568180E+02   0.381139E+06   0.134829E+03
   891   0.203824E+04   0.210388E+02   0.576154E+02   0.380473E+06   0.133967E+03
   892   0.202590E+04   0.213384E+02   0.583801E+02   0.379809E+06   0.133097E+03
   893   0.201341E+04   0.216417E+02   0.591106E+02   0.379147E+06   0.132218E+03
   894   0.200099E+04   0.219466E+02   0.598070E+02   0.378486E+06   0.131330E+03
   895   0.198842E+04   0.222537E+02   0.604713E+02   0.377828E+06   0.130434E+03
   896   0.197585E+04   0.225639E+02   0.611006E+02   0.377171E+06   0.129533E+03
   897   0.196320E+04   0.228764E+02   0.616964E+02   0.376515E+06   0.128627E+03
   898   0.195062E+04   0.231903E+02   0.622577E+02   0.375861E+06   0.127718E+03
   899   0.193797E+04   0.235066E+02   0.627839E+02   0.375209E+06   0.126807E+03
   900   0.192523E+04   0.238244E+02   0.632765E+02   0.374559E+06   0.125896E+03
   901   0.191257E+04   0.241438E+02   0.637339E+02   0.373911E+06   0.124985E+03
   902   0.189983E+04   0.244646E+02   0.641571E+02   0.373264E+06   0.124075E+03
   903   0.188695E+04   0.247871E+02   0.645452E+02   0.372618E+06   0.123169E+03
   904   0.187428E+04   0.251103E+02   0.648985E+02   0.371975E+06   0.122266E+03
   905   0.186147E+04   0.254358E+02   0.652170E+02   0.371333E+06   0.121368E+03
   906   0.184865E+04   0.257614E+02   0.655007E+02   0.370693E+06   0.120476E+03
   907   0.183592E+04   0.260877E+02   0.657497E+02   0.370054E+06   0.119591E+03
   908   0.182326E+04   0.264149E+02   0.659647E+02   0.369417E+06   0.118711E+03
   909   0.181053E+04   0.267428E+02   0.661440E+02   0.368782E+06   0.117832E+03
   910   0.179772E+04   0.270722E+02   0.662899E+02   0.368148E+06   0.116952E+03
   911   0.178498E+04   0.274002E+02   0.664001E+02   0.367516E+06   0.116068E+03
   912   0.177223E+04   0.277297E+02   0.664759E+02   0.366885E+06   0.115177E+03
   913   0.175926E+04   0.280584E+02   0.665164E+02   0.366257E+06   0.114278E+03
   914   0.174666E+04   0.283871E+02   0.665232E+02   0.365629E+06   0.113367E+03
   915   0.173390E+04   0.287158E+02   0.664955E+02   0.365004E+06   0.112447E+03
   916   0.172129E+04   0.290437E+02   0.664326E+02   0.364380E+06   0.111523E+03
   917   0.170860E+04   0.293724E+02   0.663368E+02   0.363757E+06   0.110598E+03
   918   0.169605E+04   0.296996E+02   0.662061E+02   0.363136E+06   0.109675E+03
   919   0.168351E+04   0.300260E+02   0.660418E+02   0.362517E+06   0.108758E+03
   920   0.167097E+04   0.303517E+02   0.658433E+02   0.361899E+06   0.107850E+03
   921   0.165858E+04   0.306766E+02   0.656115E+02   0.361283E+06   0.106955E+03
   922   0.164612E+04   0.310001E+02   0.653471E+02   0.360669E+06   0.106069E+03
   923   0.163374E+04   0.313220E+02   0.650499E+02   0.360056E+06   0.105190E+03
   924   0.162143E+04   0.316432E+02   0.647194E+02   0.359444E+06   0.104315E+03
   925   0.160927E+04   0.319621E+02   0.643561E+02   0.358834E+06   0.103441E+03
   926   0.159704E+04   0.322803E+02   0.639616E+02   0.358226E+06   0.102563E+03
   927   0.158496E+04   0.325962E+02   0.635343E+02   0.357619E+06   0.101680E+03
   928   0.157296E+04   0.329106E+02   0.630750E+02   0.357014E+06   0.100788E+03
   929   0.156095E+04   0.332227E+02   0.625851E+02   0.356410E+06   0.998904E+02
   930   0.154910E+04   0.335318E+02   0.620631E+02   0.355808E+06   0.989887E+02
   931   0.153724E+04   0.338401E+02   0.615106E+02   0.355207E+06   0.980859E+02
   932   0.152554E+04   0.341447E+02   0.609275E+02   0.354608E+06   0.971849E+02
   933   0.151391E+04   0.344470E+02   0.603145E+02   0.354010E+06   0.962883E+02
