#    L    TT             EE             TE             PP             TP          
    75   0.198672E+04   0.395127E+00  -0.805591E+01   0.536752E+07   0.851697E+04
    76   0.201223E+04   0.409315E+00  -0.856265E+01   0.533851E+07   0.839482E+04
    77   0.203800E+04   0.423657E+00  -0.908006E+01   0.530941E+07   0.827598E+04
    78   0.206408E+04   0.438181E+00  -0.960946E+01   0.528027E+07   0.816019E+04
    79   0.209032E+04   0.452843E+00  -0.101471E+02   0.525107E+07   0.804719E+04
    80   0.211685E+04   0.467657E+00  -0.106943E+02   0.522186E+07   0.793667E+04
    81   0.214357E+04   0.482580E+00  -0.112517E+02   0.519263E+07   0.782839E+04
    82   0.217056E+04   0.497635E+00  -0.118185E+02   0.516341E+07   0.772230E+04
    83   0.219776E+04   0.512791E+00  -0.123945E+02   0.513419E+07   0.761840E+04
    84   0.222525E+04   0.528043E+00  -0.129779E+02   0.510500E+07   0.751668E+04
    85   0.225287E+04   0.543363E+00  -0.135700E+02   0.507584E+07   0.741714E+04
    86   0.228072E+04   0.558760E+00  -0.141699E+02   0.504671E+07   0.731976E+04
    87   0.230901E+04   0.574198E+00  -0.147767E+02   0.501764E+07   0.722455E+04
    88   0.233730E+04   0.589686E+00  -0.153902E+02   0.498863E+07   0.713148E+04
    89   0.236597E+04   0.605212E+00  -0.160117E+02   0.495969E+07   0.704050E+04
    90   0.239487E+04   0.620740E+00  -0.166384E+02   0.493081E+07   0.695152E+04
    91   0.242393E+04   0.636267E+00  -0.172710E+02   0.490202E+07   0.686445E+04
    92   0.245329E+04   0.651780E+00  -0.179087E+02   0.487332E+07   0.677923E+04
    93   0.248297E+04   0.667274E+00  -0.185515E+02   0.484471E+07   0.669578E+04
    94   0.251272E+04   0.682714E+00  -0.191979E+02   0.481620E+07   0.661400E+04
    95   0.254279E+04   0.698104E+00  -0.198488E+02   0.478780E+07   0.653384E+04
    96   0.257286E+04   0.713425E+00  -0.205032E+02   0.475952E+07   0.645525E+04
    97   0.260338E+04   0.728662E+00  -0.211606E+02   0.473135E+07   0.637820E+04
    98   0.263412E+04   0.743803E+00  -0.218186E+02   0.470330E+07   0.630264E+04
    99   0.266492E+04   0.758810E+00  -0.224804E+02   0.467537E+07   0.622854E+04
   100   0.269602E+04   0.773680E+00  -0.231413E+02   0.464758E+07   0.615586E+04
   101   0.272724E+04   0.788469E+00  -0.238045E+02   0.461991E+07   0.608458E+04
   102   0.275896E+04   0.803029E+00  -0.244677E+02   0.459239E+07   0.601464E+04
   103   0.279059E+04   0.817433E+00  -0.251316E+02   0.456500E+07   0.594602E+04
   104   0.282244E+04   0.831685E+00  -0.257933E+02   0.453776E+07   0.587869E+04
   105   0.285444E+04   0.845713E+00  -0.264544E+02   0.451067E+07   0.581260E+04
   106   0.288668E+04   0.859593E+00  -0.271140E+02   0.448373E+07   0.574773E+04
   107   0.291885E+04   0.873178E+00  -0.277708E+02   0.445694E+07   0.568403E+04
   108   0.295142E+04   0.886546E+00  -0.284255E+02   0.443030E+07   0.562148E+04
   109   0.298416E+04   0.899623E+00  -0.290766E+02   0.440383E+07   0.556004E+04
   110   0.301701E+04   0.912407E+00  -0.297226E+02   0.437751E+07   0.549968E+04
   111   0.305002E+04   0.924970E+00  -0.303651E+02   0.435136E+07   0.544037E+04
   112   0.308318E+04   0.937235E+00  -0.310032E+02   0.432536E+07   0.538208E+04
   113   0.311655E+04   0.949200E+00  -0.316354E+02   0.429953E+07   0.532480E+04
   114   0.314999E+04   0.960787E+00  -0.322610E+02   0.427386E+07   0.526849E+04
   115   0.318363E+04   0.972143E+00  -0.328799E+02   0.424835E+07   0.521312E+04
   116   0.321723E+04   0.983042E+00  -0.334915E+02   0.422301E+07   0.515867E+04
   117   0.325112E+04   0.993559E+00  -0.340949E+02   0.419784E+07   0.510512E+04
   118   0.328513E+04   0.100384E+01  -0.346909E+02   0.417283E+07   0.505245E+04
   119   0.331914E+04   0.101375E+01  -0.352772E+02   0.414799E+07   0.500065E+04
   120   0.335331E+04   0.102313E+01  -0.358538E+02   0.412331E+07   0.494970E+04
   121   0.338749E+04   0.103228E+01  -0.364208E+02   0.409881E+07   0.489958E+04
   122   0.342176E+04   0.104090E+01  -0.369773E+02   0.407449E+07   0.485027E+04
   123   0.345614E+04   0.104908E+01  -0.375234E+02   0.405033E+07   0.480177E+04
   124   0.349062E+04   0.105688E+01  -0.380561E+02   0.402635E+07   0.475404E+04
   125   0.352512E+04   0.106423E+01  -0.385773E+02   0.400254E+07   0.470708E+04
   126   0.355971E+04   0.107120E+01  -0.390864E+02   0.397890E+07   0.466087E+04
   127   0.359431E+04   0.107765E+01  -0.395826E+02   0.395543E+07   0.461540E+04
   128   0.362892E+04   0.108372E+01  -0.400649E+02   0.393213E+07   0.457064E+04
   129   0.366360E+04   0.108926E+01  -0.405325E+02   0.390899E+07   0.452659E+04
