#    L    TT             EE             BB             TE          
    91   0.242624E+04   0.638517E+00   0.267961E-02  -0.172652E+02
    92   0.245562E+04   0.654067E+00   0.273916E-02  -0.179021E+02
    93   0.248531E+04   0.669599E+00   0.279940E-02  -0.185440E+02
    94   0.251509E+04   0.685078E+00   0.286032E-02  -0.191895E+02
    95   0.254517E+04   0.700505E+00   0.292194E-02  -0.198394E+02
    96   0.257526E+04   0.715865E+00   0.298425E-02  -0.204928E+02
    97   0.260580E+04   0.731140E+00   0.304726E-02  -0.211491E+02
    98   0.263655E+04   0.746320E+00   0.311097E-02  -0.218060E+02
    99   0.266737E+04   0.761366E+00   0.317539E-02  -0.224665E+02
   100   0.269848E+04   0.776275E+00   0.324052E-02  -0.231262E+02
   101   0.272971E+04   0.791104E+00   0.330637E-02  -0.237881E+02
   102   0.276144E+04   0.805703E+00   0.337294E-02  -0.244499E+02
   103   0.279308E+04   0.820147E+00   0.344023E-02  -0.251125E+02
   104   0.282494E+04   0.834440E+00   0.350825E-02  -0.257727E+02
   105   0.285695E+04   0.848509E+00   0.357701E-02  -0.264323E+02
   106   0.288918E+04   0.862430E+00   0.364651E-02  -0.270904E+02
   107   0.292136E+04   0.876057E+00   0.371674E-02  -0.277455E+02
   108   0.295393E+04   0.889468E+00   0.378773E-02  -0.283986E+02
   109   0.298668E+04   0.902588E+00   0.385948E-02  -0.290479E+02
   110   0.301952E+04   0.915416E+00   0.393198E-02  -0.296922E+02
   111   0.305252E+04   0.928024E+00   0.400525E-02  -0.303328E+02
   112   0.308568E+04   0.940335E+00   0.407929E-02  -0.309690E+02
   113   0.311905E+04   0.952347E+00   0.415411E-02  -0.315993E+02
   114   0.315248E+04   0.963981E+00   0.422971E-02  -0.322229E+02
   115   0.318610E+04   0.975385E+00   0.430609E-02  -0.328398E+02
   116   0.321970E+04   0.986334E+00   0.438328E-02  -0.334493E+02
   117   0.325357E+04   0.996902E+00   0.446126E-02  -0.340505E+02
   118   0.328757E+04   0.100724E+01   0.454005E-02  -0.346442E+02
   119   0.332156E+04   0.101720E+01   0.461965E-02  -0.352283E+02
   120   0.335571E+04   0.102663E+01   0.470007E-02  -0.358026E+02
   121   0.338986E+04   0.103584E+01   0.478132E-02  -0.363672E+02
   122   0.342411E+04   0.104452E+01   0.486339E-02  -0.369214E+02
   123   0.345847E+04   0.105276E+01   0.494631E-02  -0.374650E+02
   124   0.349292E+04   0.106062E+01   0.503006E-02  -0.379951E+02
   125   0.352739E+04   0.106803E+01   0.511467E-02  -0.385138E+02
   126   0.356195E+04   0.107507E+01   0.520013E-02  -0.390203E+02
   127   0.359652E+04   0.108158E+01   0.528646E-02  -0.395138E+02
