# This list of sources to mask was generated from TCs list at
# spt3g_software/sources/spt3g_1500d_source_list_tc_05mar19.txt.
# It includes sources with a flux >= 50mJy at 150 GHz.
# The 150 GHz flux is the one recorded here.
# I removed all sources with "bad_flag" set to 1.
# -Daniel Dutcher, 11 Aug 2019
#
#
# Index	RA	DEC	Radius	Flux
#
# 	(deg)	(deg)	(deg)	(mJy)
112 	329.97300 	-62.09000 	0.0833  	55.9780
113 	329.99200 	-47.87200 	0.0833  	50.0100
114 	330.01500 	-54.93000 	0.0833  	58.7660
115 	330.22300 	-55.33700 	0.0833  	131.5290
116 	331.00300 	-61.50500 	0.0833  	214.0150
117 	331.92600 	-53.77800 	0.0833  	487.2620
118 	332.08700 	-64.07000 	0.0833  	86.6960
119 	332.20300 	-63.42800 	0.0833  	94.0740
120 	332.31400 	-47.17200 	0.0833  	95.2720
121 	332.66200 	-50.45200 	0.0833  	71.0500
122 	332.89100 	-48.85300 	0.0833  	130.8830
123 	333.40000 	-63.49800 	0.0833  	54.4040
124 	334.46100 	-70.74100 	0.0833  	148.0910
125 	337.26200 	-69.16900 	0.0833  	386.6410
126 	337.72900 	-44.28300 	0.0833  	236.0330
127 	337.78800 	-62.52100 	0.0833  	96.0040
128 	338.80000 	-48.60500 	0.0833  	644.6320
129 	339.80200 	-57.01900 	0.0833  	208.3060
130 	340.78900 	-62.84800 	0.0833  	108.4000
131 	341.56700 	-56.13200 	0.0833  	147.3290
132 	342.00100 	-48.90700 	0.0833  	51.2550
133 	343.64700 	-41.67100 	0.0833  	79.0900
134 	343.73900 	-59.43400 	0.0833  	99.3340
135 	344.64600 	-70.23700 	0.0833  	79.9760
136 	345.66100 	-45.57300 	0.0833  	74.2580
137 	345.93900 	-68.12200 	0.0833  	118.0900
138 	345.96000 	-54.11500 	0.0833  	77.8820
139 	347.21600 	-45.97200 	0.0833  	164.0160
140 	347.25300 	-50.85500 	0.0833  	72.4900
141 	348.53400 	-44.93700 	0.0833  	92.4490
142 	348.92700 	-50.31600 	0.0833  	238.9650
143 	349.08200 	-43.63800 	0.0833  	65.4030
144 	349.32200 	-62.25700 	0.0833  	54.7660
145 	349.62800 	-48.31900 	0.0833  	85.1900
146 	349.65700 	-67.89700 	0.0833  	175.4640
147 	349.77100 	-42.12100 	0.0833  	61.9150
148 	350.42800 	-64.63300 	0.0833  	71.6490
149 	351.35800 	-48.01100 	0.0833  	97.8760
150 	351.66000 	-61.10200 	0.0833  	72.1660
151 	351.94400 	-66.74100 	0.0833  	75.5350
152 	352.31900 	-47.51100 	0.0833  	1071.0720
153 	352.32900 	-49.93300 	0.0833  	303.4080
154 	352.65200 	-45.67300 	0.0833  	88.7480
155 	353.07300 	-41.32000 	0.0833  	213.3540
156 	353.68000 	-52.85800 	0.0833  	81.2530
