# README: 
# 
# This list was generated by hand by Tom C. on 5Mar19. The input map was
# Daniel D's 2018 coadd lpf9000_tonly_0.5res.g3. The maps were
# isotropically high-pass filtered (with a filter that would have been
# optimal for a map with CMB, white noise, and Gaussian beams). All
# sources are shown that were detected in any band at at least 10
# sigma. This threshold is roughly 10, 10, and 40 mJy at 90, 150, 220
# GHz. The flux measurements are only accurate to ~10% because we don't
# have proper beam measurements yet.
# 
# All detections are listed here, regardless of robustness. I (TC)
# have visually inspected all detections, and any source that appears to
# be spurious (almost always a filtering wing from a brighter sources)
# has been given the "bad flag" value of 1.
# 
# Sources outside the uniform-coverage region have had their
# signal-to-noise and flux measurements rolled off by the apodization
# mask, so sources near the edges of the map should not be used for
# any flux comparisons to other lists or catalogs.
# 
# This file is not in the format expected by the mask constructor in 3g
# mapmaking. It is intended to be used as a resource to build such
# lists.
# 
# The source finding and flagging was done in IDL on spt.uchicago.edu,
# and the IDL code used is in the tar file in this directory
# initial_source_finding_in_idl_docs.tar.gz.


# RA [deg]  dec [deg]  SN90  S90 [mJy]  SN150  S150 [mJy]  SN220  S220 [mJy]  bad_flag
  22.597   -46.085    11.576    13.233       NaN       NaN       NaN       NaN         0
  22.705   -68.498    11.461    13.102       NaN       NaN       NaN       NaN         0
  22.853   -52.043    23.683    27.073    16.461    20.425       NaN       NaN         1
  22.884   -51.971       NaN       NaN    18.295    22.700       NaN       NaN         1
  22.908   -50.065       NaN       NaN    10.113    12.548       NaN       NaN         0
  22.951   -51.869    21.187    24.219    13.527    16.785       NaN       NaN         0
  22.993   -63.737    25.242    28.855    19.887    24.676       NaN       NaN         0
  23.101   -52.036       NaN       NaN       NaN       NaN    10.006    41.633         1
  23.116   -61.776    16.106    18.411    12.931    16.045       NaN       NaN         0
  23.130   -46.086    10.967    12.537       NaN       NaN       NaN       NaN         0
  23.170   -65.388    12.367    14.137    10.411    12.918       NaN       NaN         0
  23.194   -51.947    58.657    67.053       NaN       NaN       NaN       NaN         1
  23.249   -44.521    47.550    54.356    32.591    40.440       NaN       NaN         0
  23.265   -52.061       NaN       NaN    39.987    49.616       NaN       NaN         1
  23.266   -44.773    21.389    24.450    21.114    26.198       NaN       NaN         0
  23.267   -52.005   898.110  1026.665   729.015   904.562   186.156   774.534         0
  23.267   -51.949       NaN       NaN    39.136    48.559       NaN       NaN         1
  23.272   -44.248    16.422    18.772    16.214    20.118       NaN       NaN         0
  23.330   -52.063    60.261    68.887       NaN       NaN       NaN       NaN         1
  23.386   -44.745    42.395    48.463    29.021    36.009       NaN       NaN         0
  23.396   -52.354    22.667    25.912    19.094    23.692       NaN       NaN         0
  23.532   -55.439    15.513    17.734    12.311    15.276       NaN       NaN         0
  23.632   -53.923    13.074    14.945       NaN       NaN       NaN       NaN         0
  23.632   -51.971       NaN       NaN    16.102    19.979       NaN       NaN         1
  23.640   -52.038       NaN       NaN    16.825    20.877       NaN       NaN         1
  23.683   -51.966    23.413    26.765       NaN       NaN       NaN       NaN         1
  23.823   -50.095    25.933    29.645    17.955    22.279       NaN       NaN         0
  23.846   -48.534    16.318    18.653    13.299    16.501       NaN       NaN         0
  23.912   -51.832    27.808    31.788    21.916    27.193       NaN       NaN         0
  23.928   -42.290    47.310    54.082    43.248    53.662    12.836    53.407         0
  23.946   -52.743    20.028    22.895    15.471    19.196       NaN       NaN         0
  23.958   -52.040    11.480    13.123       NaN       NaN       NaN       NaN         1
  23.977   -51.969    11.390    13.021       NaN       NaN       NaN       NaN         1
  23.986   -66.043    14.696    16.800       NaN       NaN       NaN       NaN         0
  24.357   -54.664    11.580    13.238       NaN       NaN       NaN       NaN         0
  24.429   -57.239       NaN       NaN    11.797    14.638       NaN       NaN         0
  24.637   -46.245    24.674    28.206    23.116    28.682       NaN       NaN         0
  24.659   -42.537    18.155    20.754    14.652    18.181       NaN       NaN         0
  24.890   -69.153    21.958    25.101    14.122    17.522       NaN       NaN         0
  24.915   -47.539    42.493    48.576    35.600    44.173       NaN       NaN         0
  24.952   -52.300    40.455    46.246    29.391    36.468       NaN       NaN         0
  24.976   -43.926    39.126    44.726    33.526    41.599       NaN       NaN         0
  25.185   -47.429    15.849    18.117    11.026    13.682       NaN       NaN         0
  25.374   -54.467    11.337    12.960       NaN       NaN       NaN       NaN         0
  25.422   -56.847    28.217    32.256    18.409    22.842       NaN       NaN         0
  25.449   -47.612    26.905    30.756    20.097    24.937       NaN       NaN         0
  25.523   -42.109    24.176    27.637    24.173    29.994       NaN       NaN         0
  25.591   -57.586    17.319    19.798    13.015    16.149       NaN       NaN         1
  25.608   -57.501    71.351    81.565    61.144    75.868    12.805    53.276         0
  25.727   -68.910    13.427    15.349    13.491    16.740       NaN       NaN         0
  25.743   -60.748    42.344    48.405    32.963    40.900       NaN       NaN         0
  25.817   -57.362    20.071    22.943    14.391    17.857       NaN       NaN         0
  25.862   -66.193    26.333    30.102    18.001    22.336       NaN       NaN         0
  26.072   -64.360   119.279   136.352    99.899   123.955    23.778    98.932         0
  26.294   -55.729    16.093    18.396    10.880    13.499       NaN       NaN         0
  26.481   -67.776    15.232    17.412    14.711    18.253       NaN       NaN         0
  26.681   -60.120    10.001    11.432       NaN       NaN       NaN       NaN         0
  26.694   -52.047    82.971    94.848    66.695    82.755    16.219    67.482         0
  26.840   -42.584    10.472    11.971       NaN       NaN       NaN       NaN         0
  27.112   -69.660    11.345    12.969       NaN       NaN       NaN       NaN         0
  27.460   -49.477    11.168    12.766       NaN       NaN       NaN       NaN         0
  27.589   -55.417    10.039    11.476       NaN       NaN       NaN       NaN         0
  27.684   -68.379    18.894    21.599    13.561    16.826       NaN       NaN         0
  27.712   -60.736    16.358    18.699    13.432    16.667       NaN       NaN         0
  27.738   -58.500    20.581    23.527    15.105    18.742       NaN       NaN         0
  28.022   -46.878    27.682    31.644    24.273    30.118       NaN       NaN         0
  28.386   -49.053    19.739    22.564    17.338    21.513       NaN       NaN         0
  28.487   -54.117    30.328    34.669    27.014    33.519       NaN       NaN         0
  28.574   -51.135    70.549    80.648    51.377    63.748    10.867    45.212         0
  28.635   -66.068   109.061   124.671    86.615   107.472    17.623    73.323         0
  28.686   -69.658    11.419    13.053    11.546    14.326       NaN       NaN         0
  28.765   -41.912    16.820    19.227    12.682    15.736       NaN       NaN         0
  28.797   -64.420    31.855    36.415    27.655    34.315       NaN       NaN         0
  28.919   -58.484       NaN       NaN    10.141    12.583       NaN       NaN         0
  28.953   -62.845       NaN       NaN    16.528    20.507    15.311    63.703         0
  28.980   -51.431    11.285    12.900       NaN       NaN       NaN       NaN         0
  29.013   -51.026       NaN       NaN    10.044    12.463       NaN       NaN         1
  29.065   -51.025    13.483    15.413       NaN       NaN       NaN       NaN         1
  29.115   -51.024       NaN       NaN    10.060    12.483       NaN       NaN         1
  29.188   -47.744    17.757    20.298    15.172    18.825       NaN       NaN         0
  29.201   -54.666    37.237    42.567    21.683    26.904       NaN       NaN         0
  29.286   -46.018    47.522    54.324    31.236    38.758       NaN       NaN         0
  29.336   -54.379    15.275    17.461    11.084    13.753       NaN       NaN         0
  29.401   -49.260    17.256    19.727    12.095    15.008       NaN       NaN         0
  29.418   -42.591    18.588    21.249    14.519    18.015       NaN       NaN         0
  29.458   -46.246    48.664    55.629    35.854    44.488       NaN       NaN         0
  29.545   -56.504    16.449    18.803    12.885    15.988       NaN       NaN         0
  29.562   -50.077    37.976    43.412    28.267    35.074       NaN       NaN         0
  29.571   -47.218    17.885    20.445    13.510    16.764       NaN       NaN         0
  29.610   -58.184    58.469    66.839    43.537    54.020       NaN       NaN         0
  29.659   -64.189    37.156    42.475    26.306    32.641       NaN       NaN         0
  29.664   -64.319    32.513    37.167    22.814    28.308       NaN       NaN         0
  29.738   -63.580    20.460    23.388    14.784    18.344       NaN       NaN         0
  29.770   -45.267    33.378    38.156    26.443    32.810       NaN       NaN         0
  29.803   -53.152    11.983    13.698    10.593    13.144       NaN       NaN         0
  29.804   -47.109    12.911    14.759       NaN       NaN       NaN       NaN         0
  29.830   -60.931    12.222    13.972    10.540    13.078       NaN       NaN         0
  30.033   -50.987    10.965    12.535    10.255    12.724       NaN       NaN         1
  30.051   -66.675    13.029    14.894       NaN       NaN       NaN       NaN         1
  30.085   -66.598    11.485    13.129    12.075    14.982       NaN       NaN         1
  30.086   -51.061    12.564    14.362       NaN       NaN       NaN       NaN         1
  30.131   -50.987    10.065    11.506       NaN       NaN       NaN       NaN         1
  30.185   -51.062    12.636    14.444       NaN       NaN       NaN       NaN         1
  30.210   -50.782    10.669    12.196       NaN       NaN       NaN       NaN         0
  30.269   -51.055    10.112    11.560       NaN       NaN       NaN       NaN         1
  30.288   -66.633   169.603   193.880   130.376   161.771    28.097   116.904         0
  30.500   -66.672    10.793    12.338       NaN       NaN       NaN       NaN         1
  30.526   -66.590    11.911    13.616       NaN       NaN       NaN       NaN         1
  30.680   -69.206    18.008    20.586    15.158    18.808       NaN       NaN         0
  30.728   -44.278    12.365    14.135       NaN       NaN       NaN       NaN         0
  30.819   -55.955    25.063    28.651    18.962    23.528       NaN       NaN         0
  30.914   -43.837    20.216    23.109    11.606    14.400       NaN       NaN         0
  30.988   -68.777    17.015    19.451    13.292    16.492       NaN       NaN         0
  31.160   -51.023    29.639    33.882    24.337    30.198       NaN       NaN         1
  31.188   -50.066    13.551    15.490    10.312    12.796       NaN       NaN         0
  31.193   -55.051    27.592    31.542    22.365    27.750       NaN       NaN         0
  31.412   -65.824    13.481    15.410       NaN       NaN       NaN       NaN         0
  31.455   -55.859    16.932    19.355    10.283    12.760       NaN       NaN         0
  31.672   -61.724    98.111   112.154    77.384    96.018    16.862    70.157         0
  31.813   -48.386    11.618    13.281       NaN       NaN       NaN       NaN         0
  31.826   -70.472    15.406    17.611    11.697    14.513       NaN       NaN         0
  31.972   -68.627    89.837   102.697    79.585    98.749    19.633    81.688         0
  32.009   -62.274    32.213    36.824    23.999    29.777       NaN       NaN         0
  32.141   -68.107    21.187    24.219    16.140    20.027       NaN       NaN         0
  32.217   -51.167    10.208    11.669       NaN       NaN       NaN       NaN         1
  32.227   -50.990       NaN       NaN       NaN       NaN    10.112    42.071         1
  32.270   -51.056       NaN       NaN       NaN       NaN    12.334    51.319         1
  32.306   -62.490    10.211    11.673       NaN       NaN       NaN       NaN         0
  32.311   -50.988       NaN       NaN       NaN       NaN    12.720    52.925         1
  32.332   -52.493    24.017    27.455    23.363    28.989       NaN       NaN         0
  32.433   -51.171    21.690    24.795    15.902    19.731       NaN       NaN         1
  32.453   -50.869    20.567    23.510       NaN       NaN       NaN       NaN         1
  32.453   -50.888       NaN       NaN    15.656    19.426       NaN       NaN         1
  32.516   -51.070       NaN       NaN       NaN       NaN    25.012   104.065         1
  32.517   -50.979       NaN       NaN       NaN       NaN    25.408   105.713         1
  32.526   -43.122    14.922    17.058       NaN       NaN       NaN       NaN         0
  32.555   -65.780    18.959    21.673    15.490    19.220       NaN       NaN         0
  32.555   -66.593    13.369    15.283    12.037    14.936       NaN       NaN         0
  32.661   -51.237    10.731    12.267       NaN       NaN       NaN       NaN         1
  32.679   -51.070       NaN       NaN   157.233   195.095       NaN       NaN         1
  32.685   -51.022  3341.291  3819.563  2885.769  3580.667   755.670  3144.099         0
  32.686   -50.974       NaN       NaN   154.460   191.654       NaN       NaN         1
  32.696   -51.144       NaN       NaN       NaN       NaN    10.000    41.608         1
  32.705   -43.693    12.636    14.445       NaN       NaN       NaN       NaN         0
  32.721   -50.807    10.426    11.919       NaN       NaN       NaN       NaN         1
  32.849   -51.069       NaN       NaN       NaN       NaN    24.626   102.460         1
  32.855   -50.976       NaN       NaN       NaN       NaN    24.484   101.870         1
  32.914   -51.175    19.846    22.686       NaN       NaN       NaN       NaN         1
  32.915   -43.003    10.253    11.720       NaN       NaN       NaN       NaN         0
  32.918   -51.157       NaN       NaN    15.604    19.362       NaN       NaN         1
  32.927   -50.869    20.864    23.851       NaN       NaN       NaN       NaN         1
  32.928   -50.887       NaN       NaN    15.862    19.682       NaN       NaN         1
  33.033   -50.989       NaN       NaN       NaN       NaN    11.313    47.070         1
  33.076   -51.054       NaN       NaN       NaN       NaN    10.872    45.236         1
  33.085   -43.481    15.721    17.972    13.775    17.092       NaN       NaN         0
  33.131   -50.992       NaN       NaN       NaN       NaN    10.183    42.369         1
  33.146   -50.879    10.441    11.936       NaN       NaN       NaN       NaN         1
  33.146   -50.076    10.551    12.062       NaN       NaN       NaN       NaN         0
  33.363   -61.860    12.071    13.799       NaN       NaN       NaN       NaN         1
  33.368   -61.789    10.916    12.478       NaN       NaN       NaN       NaN         1
  33.503   -61.300    15.908    18.185    10.792    13.390       NaN       NaN         0
  33.530   -70.445    86.072    98.393    74.558    92.512    17.823    74.156         0
  33.545   -58.370    57.490    65.719    50.656    62.855    14.029    58.370         0
  33.572   -61.824   169.959   194.287   135.913   168.642    29.388   122.273         0
  33.578   -51.478    10.505    12.009       NaN       NaN       NaN       NaN         0
  33.745   -60.206    10.713    12.246       NaN       NaN       NaN       NaN         0
  33.760   -61.859    11.528    13.178       NaN       NaN       NaN       NaN         1
  33.763   -61.786    10.365    11.848       NaN       NaN       NaN       NaN         1
  33.801   -67.681    20.604    23.553    16.266    20.183       NaN       NaN         0
  33.803   -64.240    10.891    12.450       NaN       NaN       NaN       NaN         0
  33.804   -65.336    44.913    51.342    39.780    49.359       NaN       NaN         0
  33.823   -51.087    12.567    14.366    12.472    15.475       NaN       NaN         0
  33.999   -65.398    11.671    13.341       NaN       NaN       NaN       NaN         1
  34.007   -52.008    30.477    34.840    17.020    21.118       NaN       NaN         0
  34.038   -55.756    10.755    12.295       NaN       NaN       NaN       NaN         0
  34.123   -45.460    11.580    13.238       NaN       NaN       NaN       NaN         0
  34.180   -44.787    22.153    25.324    16.944    21.024       NaN       NaN         0
  34.182   -47.825    45.152    51.615    31.338    38.885       NaN       NaN         0
  34.213   -51.020    30.451    34.810    23.586    29.265       NaN       NaN         1
  34.214   -66.605    27.497    31.433    22.954    28.482       NaN       NaN         0
  34.290   -57.307    22.372    25.575    16.451    20.413       NaN       NaN         0
  34.329   -43.331       NaN       NaN    10.161    12.608       NaN       NaN         0
  34.364   -59.863    23.410    26.761    18.657    23.150       NaN       NaN         0
  34.522   -49.349    15.030    17.182       NaN       NaN       NaN       NaN         0
  34.550   -47.306    27.889    31.881    19.834    24.611       NaN       NaN         0
  34.640   -55.066    27.097    30.975    21.476    26.647       NaN       NaN         0
  34.840   -48.104    12.829    14.665       NaN       NaN       NaN       NaN         0
  34.898   -42.966    22.160    25.332    14.072    17.461       NaN       NaN         0
  34.930   -68.100    46.965    53.687    31.961    39.657       NaN       NaN         0
  34.995   -58.666    13.033    14.899       NaN       NaN       NaN       NaN         0
  35.008   -63.537    12.545    14.341       NaN       NaN       NaN       NaN         1
  35.034   -63.461    10.928    12.492       NaN       NaN       NaN       NaN         1
  35.041   -70.366    16.499    18.860       NaN       NaN       NaN       NaN         0
  35.151   -51.056    10.519    12.024       NaN       NaN       NaN       NaN         1
  35.210   -50.982    11.723    13.401       NaN       NaN       NaN       NaN         1
  35.232   -63.503   170.239   194.608   132.777   164.750    29.391   122.285         0
  35.262   -51.056    11.158    12.755       NaN       NaN       NaN       NaN         1
  35.296   -49.584    13.367    15.280    12.523    15.539       NaN       NaN         0
  35.336   -50.981    11.732    13.411       NaN       NaN       NaN       NaN         1
  35.367   -47.222    34.395    39.318    24.409    30.287       NaN       NaN         0
  35.390   -58.625    27.961    31.963    15.504    19.237       NaN       NaN         0
  35.397   -51.057    11.895    13.598       NaN       NaN       NaN       NaN         1
  35.440   -63.468    10.363    11.847       NaN       NaN       NaN       NaN         1
  35.466   -56.794    43.997    50.295    35.779    44.395       NaN       NaN         0
  35.492   -64.091    26.734    30.561    19.613    24.336       NaN       NaN         0
  35.556   -51.112    20.524    23.462    15.500    19.232       NaN       NaN         0
  35.569   -66.195    14.652    16.750    10.509    13.040       NaN       NaN         0
  35.702   -60.688    19.671    22.486    16.020    19.878       NaN       NaN         0
  35.772   -53.715    26.827    30.667    21.782    27.027       NaN       NaN         0
  35.873   -53.797   101.281   115.779    86.098   106.830    20.573    85.598         0
  35.880   -56.111    15.274    17.460    12.206    15.145       NaN       NaN         0
  35.919   -56.009    11.480    13.124       NaN       NaN       NaN       NaN         0
  35.979   -59.235    10.425    11.917       NaN       NaN       NaN       NaN         0
  36.081   -70.716    48.291    55.204    40.312    50.019    10.251    42.651         0
  36.211   -69.902    19.371    22.144    13.163    16.333       NaN       NaN         0
  36.223   -51.018       NaN       NaN    11.194    13.890       NaN       NaN         1
  36.288   -51.018    13.091    14.965       NaN       NaN       NaN       NaN         1
  36.293   -45.097    12.199    13.945       NaN       NaN       NaN       NaN         1
  36.301   -45.021    11.190    12.792       NaN       NaN       NaN       NaN         1
  36.333   -51.018       NaN       NaN    11.405    14.152       NaN       NaN         1
  36.371   -52.434    26.392    30.170    21.941    27.225       NaN       NaN         0
  36.426   -45.061   172.793   197.526   160.855   199.589    44.875   186.710         0
  36.451   -51.020       NaN       NaN    10.009    12.419       NaN       NaN         1
  36.542   -45.102    11.703    13.378       NaN       NaN       NaN       NaN         1
  36.556   -51.016    11.151    12.747       NaN       NaN       NaN       NaN         1
  36.557   -45.022    11.500    13.146       NaN       NaN       NaN       NaN         1
  36.610   -59.245    10.497    12.000       NaN       NaN       NaN       NaN         0
  36.667   -42.936    12.265    14.021       NaN       NaN       NaN       NaN         0
  36.690   -55.806    11.950    13.660       NaN       NaN       NaN       NaN         1
  36.696   -55.731    11.635    13.300       NaN       NaN       NaN       NaN         1
  36.709   -52.884    11.005    12.580       NaN       NaN       NaN       NaN         0
  36.712   -61.349    13.733    15.699    12.031    14.928       NaN       NaN         0
  36.718   -60.272    10.205    11.666       NaN       NaN       NaN       NaN         0
  36.777   -63.525    13.279    15.179       NaN       NaN       NaN       NaN         0
  36.915   -44.434    14.805    16.924    11.226    13.929       NaN       NaN         0
  36.940   -55.813       NaN       NaN    20.933    25.973       NaN       NaN         1
  36.945   -55.726       NaN       NaN    19.803    24.571       NaN       NaN         1
  36.978   -61.970    11.332    12.954    10.034    12.450       NaN       NaN         0
  37.006   -49.030    27.755    31.728    23.208    28.797       NaN       NaN         0
  37.082   -55.827    29.508    33.732       NaN       NaN       NaN       NaN         1
  37.082   -55.629       NaN       NaN    10.260    12.731       NaN       NaN         0
  37.085   -55.706    29.083    33.246       NaN       NaN       NaN       NaN         1
  37.085   -55.769   433.413   495.451   360.560   447.383    90.291   375.670         0
  37.199   -48.674    27.328    31.239    21.696    26.921       NaN       NaN         0
  37.216   -55.818       NaN       NaN    20.844    25.863       NaN       NaN         1
  37.224   -55.723       NaN       NaN    19.859    24.641       NaN       NaN         1
  37.290   -69.364    22.988    26.279    16.937    21.016       NaN       NaN         0
  37.296   -54.059    67.152    76.764    49.978    62.012    11.802    49.105         0
  37.349   -52.544    47.743    54.577    34.306    42.567       NaN       NaN         0
  37.470   -55.804    11.036    12.616       NaN       NaN       NaN       NaN         1
  37.478   -55.733    11.731    13.410       NaN       NaN       NaN       NaN         1
  37.507   -43.384    11.022    12.599       NaN       NaN       NaN       NaN         0
  37.536   -45.068    12.460    14.243       NaN       NaN       NaN       NaN         0
  37.544   -59.855    11.125    12.718       NaN       NaN       NaN       NaN         0
  37.553   -62.241    39.569    45.233    26.718    33.152       NaN       NaN         0
  37.658   -47.816    16.199    18.518    12.623    15.663       NaN       NaN         1
  37.664   -47.734    16.043    18.340    12.087    14.997       NaN       NaN         1
  37.732   -47.863    11.060    12.643       NaN       NaN       NaN       NaN         1
  37.790   -57.920    57.752    66.019    50.657    62.855    11.192    46.566         0
  37.795   -47.775   250.132   285.936   207.078   256.942    50.522   210.204         0
  37.825   -58.687    44.130    50.446    29.999    37.223       NaN       NaN         0
  37.915   -47.826    16.882    19.299       NaN       NaN       NaN       NaN         1
  37.921   -47.810       NaN       NaN    11.278    13.993       NaN       NaN         1
  37.931   -67.885    16.494    18.855    12.601    15.635       NaN       NaN         0
  37.933   -47.730    15.106    17.268    11.485    14.251       NaN       NaN         1
  38.432   -44.324    13.992    15.995    12.211    15.152       NaN       NaN         0
  38.480   -50.510    24.528    28.039    19.165    23.781       NaN       NaN         0
  38.480   -46.532    10.952    12.520       NaN       NaN       NaN       NaN         0
  38.772   -47.624    28.201    32.238    21.937    27.219       NaN       NaN         0
  38.805   -47.164    99.583   113.838    82.039   101.794    19.337    80.453         0
  39.001   -41.780    12.241    13.993    10.654    13.220       NaN       NaN         0
  39.029   -61.570    11.604    13.265       NaN       NaN       NaN       NaN         1
  39.033   -61.645    11.938    13.647       NaN       NaN       NaN       NaN         1
  39.079   -44.082    13.047    14.914       NaN       NaN       NaN       NaN         0
  39.227   -61.603   174.385   199.346   150.711   187.002    34.625   144.063         0
  39.419   -61.637    11.672    13.343       NaN       NaN       NaN       NaN         1
  39.431   -61.568    10.140    11.592       NaN       NaN       NaN       NaN         1
  39.443   -67.467    10.446    11.941       NaN       NaN       NaN       NaN         0
  39.840   -51.142    23.741    27.139    20.045    24.871       NaN       NaN         0
  40.098   -48.382    18.133    20.729    12.509    15.521       NaN       NaN         0
  40.162   -54.495    17.451    19.949    10.086    12.515       NaN       NaN         0
  40.305   -59.174    10.034    11.470       NaN       NaN       NaN       NaN         0
  40.396   -49.421    39.859    45.565    33.977    42.158       NaN       NaN         0
  40.581   -55.125    14.123    16.144       NaN       NaN       NaN       NaN         0
  40.642   -42.037    10.926    12.490       NaN       NaN       NaN       NaN         0
  40.712   -47.758    24.991    28.569    18.983    23.554       NaN       NaN         0
  40.799   -51.092    33.925    38.782    27.159    33.699       NaN       NaN         0
  40.854   -57.650    21.526    24.607    22.645    28.099       NaN       NaN         0
  40.863   -56.214    16.069    18.370    11.211    13.910       NaN       NaN         0
  40.975   -45.718    14.275    16.318    11.630    14.430       NaN       NaN         0
  40.992   -46.824    11.240    12.849       NaN       NaN       NaN       NaN         1
  41.114   -69.266    10.343    11.824       NaN       NaN       NaN       NaN         0
  41.135   -46.899    16.253    18.579       NaN       NaN       NaN       NaN         1
  41.166   -58.332    15.879    18.152    13.163    16.333       NaN       NaN         0
  41.178   -46.822    15.376    17.577       NaN       NaN       NaN       NaN         1
  41.196   -46.895       NaN       NaN    10.056    12.478       NaN       NaN         1
  41.206   -46.827       NaN       NaN    10.840    13.450       NaN       NaN         1
  41.222   -59.801    21.593    24.684    21.503    26.682       NaN       NaN         0
  41.341   -44.963    13.887    15.875       NaN       NaN       NaN       NaN         1
  41.343   -45.044    13.339    15.248       NaN       NaN       NaN       NaN         1
  41.413   -52.969    13.530    15.466    11.828    14.677       NaN       NaN         0
  41.470   -45.001   220.358   251.900   175.641   217.936    41.412   172.302         0
  41.491   -46.922    42.424    48.497    26.742    33.182       NaN       NaN         1
  41.496   -46.860   625.758   715.329   483.905   600.430   111.507   463.943         0
  41.501   -46.798    43.486    49.711    26.929    33.414       NaN       NaN         1
  41.555   -49.903    81.279    92.914    66.937    83.056    15.907    66.182         0
  41.597   -45.041    13.693    15.653    10.488    13.013       NaN       NaN         1
  41.604   -44.965    13.182    15.068       NaN       NaN       NaN       NaN         1
  41.666   -59.924    19.651    22.464    16.204    20.106       NaN       NaN         0
  41.687   -50.434    14.069    16.083       NaN       NaN       NaN       NaN         0
  41.765   -47.259    21.050    24.064    14.843    18.417       NaN       NaN         0
  41.778   -46.827       NaN       NaN    11.138    13.820       NaN       NaN         1
  41.780   -46.892       NaN       NaN    10.579    13.127       NaN       NaN         1
  41.802   -63.425    58.072    66.384    41.817    51.887       NaN       NaN         0
  41.810   -46.823    17.106    19.555       NaN       NaN       NaN       NaN         1
  41.850   -46.897    15.888    18.162       NaN       NaN       NaN       NaN         1
  41.947   -46.823    12.559    14.357       NaN       NaN       NaN       NaN         1
  42.448   -55.941    21.968    25.113    16.102    19.980       NaN       NaN         0
  42.656   -63.916    33.657    38.475    24.728    30.682       NaN       NaN         0
  42.687   -59.959    15.449    17.660    10.908    13.535       NaN       NaN         1
  42.695   -60.050    13.320    15.227    10.593    13.144       NaN       NaN         1
  42.794   -52.140    16.179    18.495    11.282    13.999       NaN       NaN         0
  42.807   -68.030    16.184    18.501       NaN       NaN       NaN       NaN         0
  42.814   -51.573    15.947    18.229    11.713    14.534       NaN       NaN         0
  42.862   -60.002   211.039   241.247   177.637   220.413    42.118   175.239         0
  42.868   -54.673       NaN       NaN    10.021    12.435       NaN       NaN         1
  42.871   -66.610    17.129    19.581       NaN       NaN       NaN       NaN         0
  42.876   -42.612    16.087    18.389    11.390    14.132       NaN       NaN         0
  42.912   -54.738    17.092    19.538       NaN       NaN       NaN       NaN         1
  42.915   -54.663    17.607    20.127       NaN       NaN       NaN       NaN         1
  42.931   -64.005    15.791    18.052    13.215    16.397       NaN       NaN         0
  42.995   -67.295    15.963    18.248    10.168    12.617       NaN       NaN         0
  43.011   -54.669       NaN       NaN    13.105    16.261       NaN       NaN         1
  43.027   -54.732       NaN       NaN    11.843    14.695       NaN       NaN         1
  43.042   -60.040    14.845    16.970    12.029    14.926       NaN       NaN         1
  43.048   -59.962    12.705    14.523       NaN       NaN       NaN       NaN         1
  43.105   -44.480    12.654    14.465       NaN       NaN       NaN       NaN         0
  43.121   -50.083    14.324    16.374       NaN       NaN       NaN       NaN         0
  43.127   -55.133    11.643    13.310       NaN       NaN       NaN       NaN         0
  43.208   -71.070    23.499    26.863    10.963    13.602       NaN       NaN         0
  43.212   -64.047    20.772    23.746    19.299    23.947       NaN       NaN         0
  43.362   -54.760    48.558    55.508    35.386    43.907       NaN       NaN         1
  43.365   -54.700   725.740   829.623   607.673   754.002   149.925   623.790         0
  43.368   -54.639    47.338    54.114    33.329    41.355       NaN       NaN         1
  43.446   -65.216    16.073    18.374    11.676    14.488       NaN       NaN         0
  43.528   -59.432    12.133    13.869    11.338    14.068       NaN       NaN         0
  43.616   -46.905    32.445    37.090    25.253    31.334       NaN       NaN         0
  43.639   -45.731    25.677    29.353    19.116    23.719       NaN       NaN         0
  43.719   -54.731       NaN       NaN    12.314    15.279       NaN       NaN         1
  43.721   -54.667       NaN       NaN    11.936    14.810       NaN       NaN         1
  43.775   -54.661    16.275    18.604       NaN       NaN       NaN       NaN         1
  43.800   -54.737    16.613    18.991       NaN       NaN       NaN       NaN         1
  44.126   -52.457    14.547    16.630    11.954    14.832       NaN       NaN         0
  44.406   -61.208    78.420    89.645    64.078    79.508    14.118    58.740         0
  44.521   -70.072    10.365    11.848       NaN       NaN       NaN       NaN         0
  44.654   -50.873    92.671   105.935    68.320    84.772    15.563    64.755         0
  44.700   -53.540    63.320    72.384    55.103    68.371    14.477    60.233         0
  45.109   -49.991    15.735    17.987       NaN       NaN       NaN       NaN         0
  45.168   -70.739    26.863    30.708    18.590    23.066       NaN       NaN         0
  45.223   -51.045    37.013    42.312    26.686    33.112       NaN       NaN         0
  45.233   -54.966    11.638    13.303       NaN       NaN       NaN       NaN         0
  45.378   -52.938    26.679    30.498    22.635    28.085       NaN       NaN         0
  45.387   -51.509    10.558    12.069       NaN       NaN       NaN       NaN         0
  45.416   -45.140    12.788    14.619       NaN       NaN       NaN       NaN         0
  45.420   -62.226    17.061    19.503       NaN       NaN       NaN       NaN         1
  45.433   -62.153    18.377    21.007    10.006    12.416       NaN       NaN         1
  45.519   -62.220       NaN       NaN    13.285    16.484       NaN       NaN         1
  45.561   -62.158       NaN       NaN    12.467    15.469       NaN       NaN         1
  45.806   -47.485    17.314    19.792    13.180    16.354       NaN       NaN         0
  45.833   -61.633    15.656    17.897       NaN       NaN       NaN       NaN         0
  45.861   -52.581    47.226    53.986    43.298    53.724    12.027    50.041         0
  45.896   -64.188    28.948    33.092    17.870    22.174       NaN       NaN         0
